104483, 3944, 1148, -12, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104517, 3998, 1263, -122, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104552, 4043, 1421, -151, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104586, 3836, 1372, -96, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104621, 3789, 1563, -124, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104655, 3837, 1327, -44, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104690, 3975, 1196, 253, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104724, 4119, 948, 433, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104759, 4049, 1005, 478, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104793, 4033, 789, 585, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104828, 4023, 804, 436, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104862, 4037, 891, 342, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104897, 4024, 1056, 295, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104932, 3962, 1170, 216, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
104970, 3934, 1179, 246, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105009, 3908, 1290, 237, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105048, 3942, 1290, 310, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105087, 3900, 1287, 304, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105125, 3930, 1184, 316, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105164, 3980, 1134, 309, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105203, 3983, 1075, 272, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105242, 3964, 1102, 277, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105280, 4004, 1130, 264, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105319, 3992, 1222, 263, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105358, 3969, 1140, 318, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105397, 3939, 1141, 267, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105436, 3955, 1125, 297, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105475, 3959, 1146, 294, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105515, 3982, 1175, 271, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105555, 3983, 1128, 241, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105594, 3941, 1131, 276, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
