62379, 3875, 1928, 406, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62417, 3837, 1550, 577, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62457, 3797, 1444, 562, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62497, 3753, 1297, 747, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62537, 3716, 1519, 796, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62577, 3678, 1772, 659, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62617, 3645, 1993, 542, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62657, 3641, 2022, 581, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62697, 3617, 1977, 598, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62737, 3603, 1870, 636, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62777, 3635, 1826, 676, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62817, 3663, 1882, 597, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62858, 3646, 1904, 578, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62894, 3706, 2106, 548, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62931, 3659, 1885, 699, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
62968, 3532, 2001, 727, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63005, 3509, 2086, 584, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63042, 3520, 1985, 746, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63078, 3424, 2054, 714, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63115, 3480, 2030, 781, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63152, 3485, 1844, 853, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63189, 3526, 2022, 876, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63226, 3520, 2076, 797, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63262, 3503, 2119, 840, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63299, 3428, 2017, 698, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63336, 3419, 2104, 761, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
