253874, -3487, 1002, -1933, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
253914, -3565, 1066, -2010, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
253955, -3543, 942, -2069, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
253995, -3539, 1054, -2009, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254036, -3442, 963, -1868, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254073, -3472, 1026, -1899, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254111, -3485, 996, -1814, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254149, -3487, 1045, -1852, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254187, -3524, 1039, -1881, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254225, -3489, 1047, -1883, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254263, -3498, 994, -1862, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254301, -3504, 955, -1866, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254339, -3533, 904, -1820, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254377, -3502, 924, -1891, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254415, -3514, 980, -1929, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254453, -3434, 947, -1928, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254489, -3530, 967, -1915, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254525, -3495, 928, -1873, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254561, -3514, 976, -1907, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254597, -3439, 935, -1859, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254633, -3543, 968, -1922, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254669, -3472, 928, -1872, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254705, -3440, 895, -1916, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254741, -3468, 910, -1997, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254777, -3498, 859, -1940, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254813, -3500, 854, -1920, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
254854, -3555, 830, -1967, 99, 060ef4d1-7cdf-4269-bbaa-a495e9c5f1d0, , qunut, qunut, , 
