294370, -2647, 1984, -2249, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294406, -2660, 1977, -2256, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294451, -2680, 2022, -2226, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294496, -2706, 2007, -2254, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294541, -2710, 2046, -2190, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294587, -2731, 2030, -2291, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294632, -2699, 2076, -2180, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294677, -2705, 2021, -2211, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294723, -2694, 2054, -2181, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294768, -2765, 2055, -2195, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294813, -2711, 2076, -2204, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294859, -2716, 2072, -2258, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294890, -2711, 2148, -2199, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294922, -2797, 2050, -2245, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294954, -2763, 2107, -2236, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
294985, -2739, 2112, -2275, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295017, -2729, 2114, -2225, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295049, -2700, 2116, -2137, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295081, -2714, 2070, -2144, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295112, -2713, 2104, -2168, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295144, -2707, 2055, -2222, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295176, -2746, 2075, -2202, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295208, -2707, 2084, -2263, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295247, -2705, 2106, -2190, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295287, -2728, 2040, -2191, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295327, -2720, 2066, -2178, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295367, -2787, 2016, -2278, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295407, -2744, 2010, -2240, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295446, -2774, 2001, -2222, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295486, -2776, 2015, -2300, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295526, -2718, 2022, -2244, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295566, -2752, 1942, -2226, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295606, -2756, 2023, -2271, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295646, -2740, 2019, -2296, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295687, -2756, 1988, -2262, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295728, -2790, 1993, -2297, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295769, -2813, 1965, -2268, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295810, -2822, 1993, -2296, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295850, -2760, 2092, -2288, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295891, -2788, 2016, -2300, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295932, -2750, 2072, -2259, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
295973, -2692, 2030, -2286, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296014, -2730, 1974, -2229, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296050, -2742, 1985, -2233, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296086, -2741, 2032, -2212, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296122, -2751, 1952, -2207, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296158, -2785, 2024, -2226, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296194, -2744, 2039, -2244, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296231, -2758, 1981, -2215, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296267, -2740, 2030, -2214, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296303, -2785, 2003, -2210, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296339, -2748, 2032, -2222, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296375, -2767, 2063, -2209, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296412, -2745, 2023, -2239, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296455, -2761, 2066, -2183, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296498, -2754, 2047, -2218, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296541, -2774, 2061, -2164, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296584, -2774, 2021, -2235, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296628, -2756, 2002, -2184, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296671, -2781, 1987, -2239, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296714, -2746, 2022, -2203, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296757, -2768, 1973, -2239, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296800, -2786, 1977, -2217, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296844, -2766, 1980, -2208, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296876, -2806, 1944, -2220, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296908, -2800, 1959, -2229, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296940, -2804, 1904, -2225, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
296972, -2832, 1932, -2251, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297004, -2802, 1983, -2223, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297036, -2842, 1993, -2226, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297068, -2803, 2001, -2224, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297100, -2812, 1984, -2258, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297132, -2806, 1997, -2218, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297164, -2830, 1963, -2225, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297196, -2794, 1980, -2246, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297240, -2807, 1962, -2203, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297284, -2763, 1976, -2236, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297328, -2783, 1940, -2246, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297373, -2793, 1975, -2226, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297417, -2788, 1967, -2205, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297461, -2789, 1954, -2245, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297506, -2792, 1934, -2238, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297550, -2772, 1991, -2215, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297594, -2776, 1986, -2239, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297639, -2802, 2003, -2237, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297675, -2769, 1988, -2219, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297712, -2797, 1962, -2279, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297749, -2821, 1955, -2279, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297786, -2789, 1984, -2250, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297823, -2785, 1988, -2242, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297859, -2818, 1980, -2246, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297896, -2780, 1999, -2204, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297933, -2783, 1995, -2276, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
297970, -2777, 2014, -2230, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298007, -2768, 1983, -2230, 92, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298045, -2803, 1970, -2286, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298083, -2794, 2004, -2246, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298121, -2814, 1974, -2235, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298160, -2778, 2003, -2136, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298198, -2761, 1957, -2157, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298236, -2716, 1975, -2207, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298274, -2736, 2000, -2221, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298313, -2781, 2030, -2256, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298351, -2779, 2030, -2277, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298389, -2808, 2035, -2283, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298428, -2827, 2015, -2302, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298467, -2779, 1964, -2226, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298506, -2771, 1959, -2234, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298545, -2817, 1937, -2258, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298585, -2789, 1915, -2179, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298624, -2777, 1927, -2199, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298663, -2799, 1965, -2216, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298703, -2772, 1976, -2222, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298742, -2816, 1994, -2228, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298781, -2844, 1959, -2218, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298821, -2817, 1969, -2249, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298860, -2798, 1964, -2247, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298899, -2822, 1922, -2222, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298939, -2802, 1915, -2207, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
298978, -2813, 1910, -2258, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299017, -2812, 1917, -2216, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299057, -2826, 1936, -2235, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299096, -2838, 1923, -2231, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299135, -2821, 1939, -2232, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299175, -2837, 1946, -2246, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299214, -2838, 1947, -2243, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299254, -2823, 1914, -2236, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299288, -2825, 1971, -2302, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299322, -2790, 1974, -2244, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299356, -2848, 1934, -2221, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299390, -2828, 1895, -2280, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299425, -2786, 1925, -2270, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299459, -2833, 1887, -2243, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299493, -2806, 1924, -2224, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299527, -2823, 1928, -2229, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299561, -2837, 1929, -2194, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299596, -2827, 1913, -2228, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299638, -2812, 1944, -2230, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299680, -2821, 1913, -2245, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299723, -2806, 1944, -2257, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299765, -2788, 1918, -2215, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299808, -2788, 1895, -2236, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299850, -2817, 1912, -2221, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299892, -2825, 1930, -2184, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299935, -2772, 1940, -2202, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
299977, -2782, 1996, -2268, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300020, -2805, 2019, -2237, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300058, -2826, 2039, -2217, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300097, -2866, 1995, -2247, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300135, -2814, 1976, -2216, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300174, -2807, 1936, -2240, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300213, -2784, 1912, -2237, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300251, -2844, 1872, -2219, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300290, -2879, 1847, -2241, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300329, -2813, 1902, -2244, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300367, -2849, 1953, -2313, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300406, -2797, 2013, -2258, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300445, -2792, 1998, -2293, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300481, -2761, 1988, -2285, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300518, -2751, 1980, -2297, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300554, -2755, 1987, -2280, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300591, -2768, 1973, -2282, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300628, -2769, 1950, -2195, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300664, -2854, 1994, -2287, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300701, -2798, 1895, -2289, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300737, -2782, 1999, -2260, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300774, -2798, 1960, -2255, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300811, -2760, 1923, -2304, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300848, -2744, 1940, -2268, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300885, -2776, 1878, -2322, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300922, -2771, 1964, -2238, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300960, -2759, 1889, -2252, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
300997, -2809, 1938, -2275, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301034, -2821, 1918, -2307, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301071, -2820, 1854, -2272, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301109, -2836, 1888, -2276, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301146, -2825, 1906, -2289, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301183, -2810, 1951, -2298, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301221, -2792, 1964, -2274, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301258, -2775, 1960, -2267, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301295, -2755, 1937, -2269, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301332, -2766, 1898, -2271, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301369, -2741, 1854, -2265, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301406, -2766, 1838, -2244, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301443, -2838, 1833, -2265, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301480, -2791, 1864, -2245, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301517, -2870, 1894, -2246, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301554, -2839, 1910, -2242, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301591, -2824, 1916, -2300, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301634, -2784, 1902, -2299, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301678, -2825, 1880, -2261, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301721, -2826, 1912, -2307, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
301765, -2824, 1886, -2323, 93, 097cd4fa-548c-4f12-a4ce-ce795b9d93cd, , qunut, qunut, , 
