118882, -2291, 2200, -2483, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
118916, -2259, 2132, -2447, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
118950, -2220, 2169, -2454, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
118984, -2245, 2218, -2522, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119018, -2269, 2287, -2504, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119052, -2285, 2245, -2437, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119086, -2326, 2233, -2504, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119120, -2366, 2247, -2452, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119154, -2362, 2232, -2451, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119189, -2340, 2197, -2450, 78, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119226, -2333, 2251, -2485, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119263, -2260, 2237, -2506, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119300, -2301, 2264, -2582, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119337, -2264, 2297, -2596, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119374, -2299, 2243, -2594, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119411, -2306, 2260, -2557, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119448, -2316, 2273, -2570, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119485, -2300, 2255, -2551, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119522, -2304, 2243, -2554, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119559, -2317, 2241, -2499, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119596, -2322, 2256, -2524, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119637, -2296, 2232, -2547, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119679, -2297, 2234, -2531, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119721, -2283, 2200, -2528, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119763, -2273, 2215, -2502, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119805, -2286, 2267, -2527, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119846, -2288, 2231, -2518, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119888, -2283, 2232, -2497, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119930, -2282, 2230, -2537, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
119972, -2302, 2238, -2548, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120014, -2291, 2227, -2547, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120049, -2291, 2242, -2537, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120085, -2279, 2212, -2516, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120120, -2294, 2207, -2526, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120156, -2319, 2199, -2548, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120192, -2307, 2258, -2570, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120227, -2280, 2217, -2534, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120263, -2296, 2234, -2522, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120299, -2311, 2245, -2567, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120334, -2336, 2207, -2567, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120370, -2306, 2214, -2563, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120406, -2286, 2209, -2555, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120451, -2318, 2220, -2579, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120497, -2299, 2199, -2571, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120543, -2327, 2164, -2512, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120589, -2315, 2174, -2547, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120635, -2330, 2175, -2535, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120681, -2281, 2199, -2547, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120727, -2298, 2176, -2594, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120773, -2337, 2182, -2611, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120819, -2316, 2177, -2592, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120865, -2327, 2198, -2612, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120898, -2319, 2188, -2552, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120931, -2321, 2191, -2588, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120964, -2289, 2204, -2569, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
120997, -2337, 2139, -2568, 79, 35825b1a-e832-4033-b6d4-84830ed10df6, , qunut, qunut, , 
