88785, -1581, 1672, -3492, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
88820, -1490, 1688, -3451, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
88856, -1563, 1597, -3409, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
88892, -1536, 1552, -3384, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
88929, -1578, 1596, -3353, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
88965, -1568, 1585, -3455, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89001, -1568, 1578, -3395, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89038, -1516, 1666, -3392, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89074, -1445, 1737, -3437, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89110, -1430, 1692, -3433, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89147, -1437, 1682, -3432, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89183, -1480, 1671, -3414, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89220, -1481, 1649, -3393, 61, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89259, -1492, 1670, -3429, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89298, -1506, 1658, -3418, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89337, -1482, 1731, -3508, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89376, -1468, 1713, -3425, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89416, -1425, 1746, -3519, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89455, -1387, 1732, -3466, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89494, -1352, 1815, -3509, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89533, -1350, 1776, -3484, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89572, -1334, 1752, -3450, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89612, -1355, 1764, -3460, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89650, -1312, 1666, -3464, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89688, -1307, 1714, -3461, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89727, -1335, 1713, -3440, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89765, -1368, 1718, -3461, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89803, -1362, 1684, -3424, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89842, -1375, 1701, -3451, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89880, -1374, 1701, -3467, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89918, -1356, 1656, -3463, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89957, -1380, 1702, -3470, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
89995, -1402, 1684, -3447, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90034, -1363, 1719, -3490, 64, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90074, -1363, 1757, -3495, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90114, -1273, 1758, -3478, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90155, -1334, 1768, -3447, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90195, -1360, 1723, -3446, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90236, -1339, 1718, -3444, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90276, -1358, 1723, -3493, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90316, -1336, 1682, -3457, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90357, -1373, 1671, -3453, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90397, -1345, 1720, -3499, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90438, -1347, 1704, -3444, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90475, -1370, 1735, -3427, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90513, -1381, 1718, -3431, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90550, -1381, 1754, -3499, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90588, -1370, 1704, -3444, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90625, -1323, 1712, -3462, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90663, -1338, 1703, -3454, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90700, -1362, 1730, -3443, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90738, -1357, 1702, -3405, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90775, -1383, 1737, -3498, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90813, -1368, 1739, -3474, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90851, -1363, 1763, -3497, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90890, -1368, 1759, -3471, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90928, -1348, 1757, -3449, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
90967, -1339, 1768, -3411, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
91005, -1314, 1785, -3441, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
91044, -1322, 1760, -3436, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
91082, -1358, 1756, -3417, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
91121, -1313, 1746, -3452, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
91159, -1348, 1771, -3440, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
91198, -1363, 1765, -3433, 65, aa444760-7182-4e37-afde-db0aef7d5e97, , qunut, qunut, , 
