136080, -2726, 1891, -2452, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136117, -2705, 1852, -2439, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136153, -2703, 1840, -2453, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136190, -2681, 1754, -2411, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136227, -2660, 1797, -2375, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136263, -2692, 1796, -2430, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136300, -2655, 1863, -2441, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136337, -2715, 1883, -2443, 109, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136381, -2740, 1951, -2410, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136426, -2742, 1899, -2469, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136471, -2712, 1862, -2437, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136516, -2724, 1831, -2428, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136561, -2678, 1808, -2433, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136606, -2680, 1889, -2455, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136651, -2663, 1903, -2429, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136696, -2701, 1881, -2367, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136741, -2679, 1911, -2415, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136786, -2683, 1889, -2449, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136820, -2659, 1883, -2456, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136855, -2660, 1922, -2461, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136890, -2684, 1856, -2472, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136925, -2675, 1923, -2475, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136960, -2655, 1900, -2467, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
136994, -2665, 1913, -2485, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137029, -2645, 1879, -2429, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137064, -2677, 1895, -2412, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137099, -2664, 1848, -2414, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137134, -2661, 1871, -2466, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137170, -2630, 1906, -2476, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137206, -2633, 1896, -2468, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137243, -2654, 1882, -2456, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137279, -2634, 1860, -2454, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137316, -2657, 1894, -2494, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137352, -2638, 1861, -2469, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137389, -2597, 1912, -2472, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137425, -2642, 1981, -2483, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137462, -2626, 1969, -2462, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137498, -2636, 1958, -2493, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137535, -2628, 1978, -2480, 108, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137575, -2635, 1963, -2495, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137616, -2620, 1922, -2495, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137657, -2609, 1919, -2496, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
137697, -2614, 1960, -2483, 107, d9fa9077-651b-460c-b017-782b681afa08, , qunut, qunut, , 
