6189, -2210, 1875, -2885, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6225, -2199, 1916, -2934, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6261, -2212, 1887, -2900, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6298, -2231, 1899, -2896, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6334, -2194, 1916, -3033, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6370, -2192, 1852, -2939, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6407, -2210, 1807, -2892, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6446, -2187, 1821, -2993, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6485, -2157, 1837, -2931, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6524, -2135, 1807, -2902, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6563, -2194, 1890, -2947, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6602, -2180, 1845, -2968, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6641, -2153, 1841, -2907, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6680, -2210, 1830, -2908, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6719, -2155, 1860, -2944, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6758, -2154, 1866, -2910, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6797, -2218, 1832, -2929, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6838, -2164, 1829, -2924, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6879, -2140, 1844, -2916, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6920, -2174, 1824, -2927, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
6961, -2152, 1796, -2919, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
7002, -2132, 1802, -2886, , fba99f24-cb3e-427e-9807-5e82fee23e60, , qunut, qunut, , 
