147390, 2588, -1037, -2911, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147428, 2733, -1149, -2806, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147467, 2763, -990, -2772, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147506, 2705, -1127, -2929, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147545, 2686, -1052, -2783, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147584, 2680, -1041, -2633, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147624, 2707, -920, -2765, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147665, 2760, -893, -2883, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147706, 2893, -1294, -3341, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147747, 2833, -1087, -3290, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147788, 2769, -1064, -2911, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147829, 2721, -1023, -2798, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147870, 2650, -1210, -3008, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147911, 2625, -928, -2884, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147952, 2723, -1037, -2808, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
147993, 2601, -1026, -3098, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148027, 2599, -1410, -3008, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148062, 2627, -1177, -3005, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148097, 2638, -994, -3062, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148131, 2623, -943, -2939, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148166, 2617, -1043, -2898, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148201, 2672, -1048, -2905, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148236, 2612, -1035, -2783, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148270, 2730, -1289, -3003, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148305, 2793, -1136, -3028, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148340, 2673, -1169, -2997, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148375, 2642, -1173, -2848, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148413, 2656, -980, -3007, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148452, 2652, -1099, -2927, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148491, 2657, -1095, -2946, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148530, 2779, -1146, -2927, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148569, 2746, -1053, -2838, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148608, 2744, -1065, -2815, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
148647, 2719, -1087, -2898, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
