206447, 3529, -1002, -2191, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206482, 3557, -956, -2263, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206516, 3453, -1116, -2207, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206551, 3363, -750, -1935, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206585, 3374, -857, -2023, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206620, 3406, -1042, -2231, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206655, 3469, -816, -2298, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206695, 3418, -985, -2410, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206735, 3545, -971, -2147, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206775, 3262, -722, -2445, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206815, 3357, -735, -2510, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206855, 3401, -1159, -2299, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206895, 3268, -1046, -2236, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206935, 3174, -1210, -2079, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
206975, 3238, -1152, -2374, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207015, 3210, -1125, -2492, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207055, 3156, -1122, -2492, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207090, 3136, -1484, -2364, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207125, 3245, -1467, -2331, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207161, 3099, -1137, -2435, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207196, 3173, -1115, -2438, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207232, 3199, -1060, -2324, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207267, 3172, -1177, -2260, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207303, 3187, -1195, -2317, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207338, 3155, -1319, -2366, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207374, 3090, -1248, -2262, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207409, 3128, -1079, -2181, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207445, 3155, -1115, -2260, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207485, 3076, -1059, -2492, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207526, 3161, -1170, -2526, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207567, 3168, -1188, -2436, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207607, 3170, -1174, -2381, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207648, 3171, -1149, -2359, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207689, 3158, -1123, -2385, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207729, 3194, -1083, -2424, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207770, 3152, -1126, -2431, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207811, 3154, -1141, -2418, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207852, 3181, -1135, -2376, 105, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207898, 3158, -1118, -2379, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207945, 3211, -1089, -2354, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
207992, 3236, -1103, -2370, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
208038, 3250, -1142, -2344, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
208085, 3195, -1142, -2339, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
208132, 3203, -1102, -2369, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
208178, 3187, -1115, -2380, 104, 0aeba7e3-b4cf-4018-93d8-0bc90ad390b5, , ruku, ruku, , 
