189518, 2953, 802, -2732, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189557, 2913, 851, -2705, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189596, 2951, 801, -2809, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189634, 2924, 781, -2733, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189673, 3005, 791, -2673, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189712, 2959, 933, -2680, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189749, 2952, 881, -2719, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189787, 2954, 855, -2708, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189825, 3018, 802, -2679, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189863, 3000, 808, -2697, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189901, 2965, 884, -2723, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189939, 2978, 820, -2669, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
189977, 2997, 888, -2676, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190015, 2990, 825, -2675, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190053, 3007, 841, -2642, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190091, 2988, 913, -2673, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190131, 3010, 903, -2686, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190171, 2996, 870, -2645, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190211, 3012, 852, -2673, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190252, 3026, 871, -2638, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190292, 3017, 853, -2651, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190332, 3010, 850, -2633, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190373, 3021, 852, -2633, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190413, 3012, 887, -2637, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190453, 3064, 810, -2646, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190494, 3028, 881, -2637, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190534, 3003, 867, -2634, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190575, 3028, 853, -2640, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190615, 3011, 838, -2642, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190656, 3036, 836, -2662, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190696, 3009, 847, -2639, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190737, 3006, 829, -2638, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190777, 3023, 842, -2645, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190818, 2995, 887, -2626, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190858, 3037, 840, -2646, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190899, 3008, 821, -2633, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190940, 3016, 852, -2661, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
190982, 3006, 843, -2644, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191024, 3006, 871, -2650, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191066, 3005, 859, -2670, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191108, 3037, 833, -2619, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191150, 2995, 817, -2610, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191192, 3034, 857, -2646, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191234, 3026, 892, -2661, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191276, 3022, 913, -2603, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191318, 3027, 862, -2489, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191361, 3031, 890, -2641, 85, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191393, 3056, 867, -2596, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191426, 3045, 868, -2601, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191459, 3002, 894, -2611, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191492, 3099, 878, -2579, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191525, 3043, 898, -2631, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191558, 3039, 901, -2596, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191591, 3058, 938, -2592, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191624, 3050, 891, -2608, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191657, 3049, 891, -2594, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191690, 3062, 897, -2594, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191723, 3023, 933, -2566, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191760, 3035, 915, -2588, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191797, 3057, 907, -2599, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191834, 3066, 901, -2580, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191871, 3059, 908, -2585, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191908, 3077, 935, -2571, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191945, 3067, 898, -2559, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
191982, 3064, 907, -2563, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192019, 3050, 915, -2573, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192056, 3069, 890, -2568, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192093, 3072, 928, -2558, 86, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192138, 3098, 919, -2544, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192184, 3087, 915, -2546, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192229, 3092, 932, -2568, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192275, 3090, 925, -2546, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192321, 3058, 949, -2560, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192366, 3073, 944, -2573, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192412, 3077, 897, -2543, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192457, 3108, 938, -2538, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192503, 3081, 940, -2550, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192549, 3049, 910, -2536, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192580, 3066, 926, -2564, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192611, 3055, 942, -2566, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192643, 3068, 916, -2538, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192674, 3077, 933, -2557, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192706, 3082, 926, -2550, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192737, 3087, 948, -2554, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192769, 3081, 937, -2546, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192800, 3055, 983, -2583, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192832, 3070, 933, -2555, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192863, 3059, 969, -2551, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192895, 3080, 940, -2561, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192944, 3056, 941, -2556, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
192993, 3088, 932, -2548, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193042, 3063, 949, -2543, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193092, 3093, 902, -2559, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193141, 3113, 1004, -2548, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193190, 3060, 976, -2520, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193240, 3077, 918, -2555, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193289, 3102, 888, -2567, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193338, 3079, 957, -2522, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193388, 3095, 935, -2552, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193418, 3093, 960, -2543, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193448, 3079, 897, -2541, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193478, 3095, 938, -2534, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193508, 3088, 930, -2533, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193538, 3088, 943, -2556, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193569, 3075, 964, -2525, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193599, 3097, 906, -2543, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193629, 3084, 900, -2533, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193659, 3084, 949, -2535, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193689, 3086, 969, -2535, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193720, 3094, 917, -2523, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193763, 3102, 938, -2517, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193806, 3114, 924, -2524, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193849, 3081, 942, -2522, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193893, 3085, 931, -2511, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193936, 3106, 930, -2513, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
193979, 3127, 940, -2543, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194023, 3094, 965, -2515, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194066, 3089, 940, -2498, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194109, 3111, 914, -2532, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194153, 3137, 917, -2532, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194188, 3095, 979, -2502, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194223, 3108, 932, -2521, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194258, 3096, 935, -2532, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194293, 3108, 959, -2519, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194328, 3095, 957, -2518, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194363, 3098, 947, -2543, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194398, 3061, 929, -2460, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194433, 3089, 888, -2414, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194468, 3067, 1047, -2585, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194503, 3115, 1011, -2609, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194539, 3125, 957, -2466, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194576, 3080, 1015, -2489, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194612, 3105, 986, -2511, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194649, 3066, 971, -2515, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194685, 3087, 1010, -2509, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194722, 3080, 1007, -2524, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194758, 3080, 1007, -2528, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
194795, 3084, 1037, -2496, 88, 0c8633e0-0da6-43f2-b034-85f0ce3c579a, , ruku, ruku, , 
