228492, 3046, -1608, -2219, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228531, 3074, -1586, -2258, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228569, 3111, -1718, -2155, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228608, 3050, -1757, -2094, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228647, 3053, -1805, -2087, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228686, 3048, -1568, -2222, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228724, 3099, -1641, -2223, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228763, 3069, -1721, -2164, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228802, 3091, -1707, -2136, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228841, 3056, -1736, -2135, 74, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228885, 3083, -1665, -2167, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228929, 3077, -1650, -2206, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
228973, 3091, -1690, -2160, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229018, 3083, -1703, -2161, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229062, 3080, -1690, -2160, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229106, 3118, -1668, -2158, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229151, 3094, -1657, -2152, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229195, 3096, -1663, -2146, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229239, 3142, -1648, -2152, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229284, 3109, -1651, -2148, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229317, 3101, -1673, -2145, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229351, 3086, -1614, -2150, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229384, 3114, -1647, -2119, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229418, 3109, -1609, -2134, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229451, 3128, -1619, -2160, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229485, 3131, -1632, -2154, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229518, 3120, -1635, -2139, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229552, 3134, -1576, -2149, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229585, 3130, -1607, -2142, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229619, 3118, -1605, -2153, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229659, 3135, -1650, -2109, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229699, 3154, -1647, -2096, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229740, 3132, -1596, -2131, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229780, 3139, -1616, -2159, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229821, 3131, -1611, -2122, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229861, 3160, -1637, -2104, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229902, 3126, -1641, -2106, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229942, 3124, -1614, -2142, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
229983, 3158, -1638, -2112, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230023, 3112, -1613, -2134, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230064, 3149, -1607, -2122, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230099, 3146, -1632, -2125, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230134, 3130, -1643, -2130, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230169, 3118, -1643, -2136, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
230204, 3140, -1617, -2118, 73, 10180ea7-a32d-40a0-bc81-4e049c0c88db, , ruku, ruku, , 
