182477, 3253, -527, -2576, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182510, 3213, -754, -2539, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182544, 3115, -482, -2657, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182577, 3106, -544, -2647, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182611, 3116, -505, -2628, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182644, 3129, -507, -2562, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182678, 3156, -539, -2538, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182711, 3218, -497, -2585, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182745, 3163, -524, -2544, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182779, 3198, -464, -2620, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182820, 3150, -483, -2615, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182862, 3168, -508, -2607, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182904, 3104, -536, -2596, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182946, 3159, -468, -2633, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
182988, 3098, -502, -2634, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183030, 3138, -508, -2646, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183072, 3163, -467, -2638, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183114, 3168, -416, -2642, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183156, 3178, -476, -2604, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183198, 3141, -419, -2614, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183233, 3096, -406, -2696, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183269, 3174, -423, -2605, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183305, 3146, -475, -2576, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183341, 3156, -420, -2692, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183377, 3124, -342, -2637, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183412, 3127, -398, -2652, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183448, 3123, -379, -2679, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183484, 3103, -414, -2625, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183520, 3117, -447, -2675, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183556, 3143, -413, -2611, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183592, 3127, -427, -2630, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183630, 3142, -420, -2605, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183669, 3140, -351, -2627, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183707, 3161, -378, -2628, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183746, 3124, -345, -2630, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183785, 3122, -396, -2610, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183823, 3159, -383, -2638, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183862, 3131, -355, -2635, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183900, 3173, -354, -2652, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183939, 3124, -367, -2626, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
183978, 3128, -383, -2651, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184020, 3123, -386, -2640, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184062, 3135, -357, -2636, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184104, 3105, -371, -2619, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184146, 3140, -366, -2626, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184188, 3132, -349, -2632, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184230, 3128, -362, -2626, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184272, 3131, -355, -2630, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
184314, 3146, -332, -2613, 101, 19a145f6-ddce-47a7-add2-e04310a2a666, , ruku, ruku, , 
