104283, 2668, -1826, -2448, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104323, 2618, -1846, -2497, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104363, 2712, -1827, -2528, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104403, 2708, -1922, -2457, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104443, 2772, -1894, -2441, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104483, 2806, -1984, -2370, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104523, 2794, -1946, -2402, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104563, 2777, -1907, -2444, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104599, 2735, -1894, -2378, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104635, 2723, -1926, -2373, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104672, 2737, -1866, -2431, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104708, 2736, -1872, -2449, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104744, 2745, -1903, -2403, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104781, 2764, -1949, -2396, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104817, 2759, -1863, -2385, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104853, 2799, -1895, -2433, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104890, 2760, -1892, -2428, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104926, 2740, -1860, -2412, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
104963, 2808, -2020, -2342, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105009, 2738, -1944, -2397, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105055, 2757, -1956, -2406, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105101, 2749, -1885, -2406, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105147, 2786, -1894, -2406, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105194, 2742, -1935, -2386, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105240, 2776, -1910, -2380, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105286, 2764, -1909, -2348, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105332, 2741, -1926, -2387, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105378, 2788, -1892, -2415, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105425, 2779, -1920, -2396, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105457, 2766, -1940, -2394, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105489, 2732, -1900, -2388, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105521, 2735, -1898, -2449, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105553, 2790, -1950, -2375, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105586, 2799, -1921, -2397, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105618, 2777, -1924, -2375, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105650, 2758, -1936, -2379, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105682, 2753, -1909, -2400, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105714, 2760, -1915, -2385, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105747, 2772, -1910, -2395, 104, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105788, 2742, -1911, -2400, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105829, 2746, -1939, -2384, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105870, 2734, -1913, -2391, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105911, 2766, -1928, -2387, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105952, 2768, -1910, -2397, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
105993, 2739, -1918, -2420, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106034, 2768, -1942, -2379, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106075, 2748, -1937, -2382, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106116, 2722, -1908, -2400, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106157, 2731, -1966, -2382, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106199, 2765, -1933, -2385, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106235, 2767, -1936, -2389, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106271, 2739, -1920, -2390, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106307, 2769, -1917, -2362, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
106344, 2764, -1929, -2397, 106, 21d12494-c5e3-4eb4-b599-9faef5b61192, , ruku, ruku, , 
