125850, 3029, -604, -2516, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
125887, 3023, -761, -2622, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
125925, 3103, -844, -2663, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
125962, 3108, -852, -2743, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
125999, 3117, -917, -2826, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126036, 3085, -744, -2707, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126073, 3030, -696, -2719, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126110, 2977, -979, -2621, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126147, 2923, -411, -2754, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126184, 2954, -955, -2820, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126221, 3015, -1001, -2721, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126258, 3001, -760, -2689, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126295, 2938, -793, -2758, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126332, 2908, -788, -2736, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126372, 2898, -687, -2468, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126412, 2988, -747, -2690, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126453, 2986, -979, -2829, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126493, 2932, -850, -2847, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126534, 2993, -758, -2804, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126574, 2952, -809, -2741, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126614, 2994, -782, -2693, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126655, 2980, -833, -2700, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126695, 3010, -838, -2681, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126736, 2999, -793, -2694, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126771, 2989, -816, -2682, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126807, 3006, -841, -2671, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126843, 2987, -847, -2700, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126879, 3005, -784, -2694, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126915, 3017, -774, -2676, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126950, 3016, -810, -2672, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
126986, 3025, -843, -2684, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127022, 3024, -774, -2682, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127058, 3031, -782, -2673, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127094, 2996, -811, -2683, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127130, 3016, -818, -2669, 103, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127173, 3033, -797, -2661, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127217, 3045, -794, -2657, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127261, 3050, -814, -2698, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127305, 3028, -805, -2642, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127349, 3053, -785, -2660, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127393, 3052, -828, -2663, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127437, 3009, -843, -2643, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127481, 3055, -791, -2650, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127525, 3044, -817, -2624, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127569, 3051, -835, -2652, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127605, 3032, -833, -2661, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127642, 3026, -823, -2636, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127679, 3030, -803, -2653, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127715, 3035, -770, -2669, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127752, 3047, -800, -2667, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127789, 3038, -831, -2642, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127825, 3023, -807, -2662, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127862, 3016, -788, -2672, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127899, 3013, -806, -2677, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127936, 3045, -841, -2664, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
127978, 3048, -840, -2657, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
128020, 3058, -799, -2685, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
128063, 3044, -784, -2653, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
128105, 3045, -811, -2653, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
128148, 3065, -798, -2672, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
128190, 2996, -813, -2677, 104, 28fabc06-aa96-480d-b343-82fe597beeb0, , ruku, ruku, , 
