97549, 3544, 34, -2175, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97589, 3602, 143, -2361, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97628, 3551, 242, -2338, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97668, 3437, 240, -2244, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97707, 3412, 85, -2176, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97747, 3439, 193, -2098, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97786, 3362, 73, -2121, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97826, 3706, 162, -2420, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97865, 3668, 239, -2528, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97905, 3554, 21, -2189, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97945, 3538, 283, -2223, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
97983, 3421, 114, -2288, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98021, 3428, 106, -2334, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98060, 3463, -157, -2344, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98098, 3446, 34, -2098, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98136, 3316, 258, -2310, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98175, 3345, 228, -2277, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98213, 3487, -3, -2267, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98252, 3364, -7, -2297, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98290, 3212, 238, -2208, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98328, 3621, 336, -2385, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98367, 3530, -90, -2215, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98405, 3427, 170, -2323, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98444, 3466, 14, -2405, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98481, 3323, 57, -2285, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98518, 3370, -41, -2239, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98556, 3395, 36, -2265, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98593, 3294, -4, -2219, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98630, 3356, 88, -2231, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98668, 3433, -39, -2364, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98705, 3430, -26, -2355, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98743, 3467, -119, -2452, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98780, 3412, -134, -2322, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
98817, 3427, -68, -2301, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
