88993, 3214, -937, -2336, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89035, 3161, -791, -2445, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89077, 3184, -998, -2418, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89119, 3220, -1020, -2298, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89161, 3192, -960, -2233, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89203, 3287, -1220, -2393, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89245, 3266, -1346, -2309, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89287, 3269, -1086, -2301, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89332, 3237, -1009, -2430, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89378, 3277, -1082, -2385, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89423, 3253, -1127, -2257, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89469, 3189, -895, -2331, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89514, 3230, -1007, -2378, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89560, 3261, -1010, -2218, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89605, 3224, -1043, -2314, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89651, 3235, -1008, -2315, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89696, 3250, -1057, -2201, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89742, 3313, -1020, -2261, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89771, 3290, -1030, -2374, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89801, 3258, -945, -2279, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89831, 3265, -899, -2272, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89860, 3293, -939, -2291, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89890, 3277, -1051, -2246, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89920, 3259, -912, -2327, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89950, 3266, -1036, -2284, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
89979, 3323, -1056, -2252, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90009, 3286, -908, -2335, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90039, 3311, -1035, -2299, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90069, 3262, -979, -2248, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90109, 3307, -915, -2317, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90150, 3307, -999, -2302, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90190, 3265, -962, -2273, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90231, 3250, -959, -2267, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90271, 3344, -993, -2300, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90312, 3273, -956, -2266, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90352, 3321, -1028, -2263, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90393, 3311, -974, -2286, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90433, 3297, -948, -2254, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
90474, 3268, -932, -2274, 75, 3aee1df6-c80d-4384-9593-d821cbe21923, , ruku, ruku, , 
