54074, 3146, -144, -2483, 55, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54115, 3140, 118, -2322, 55, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54155, 3205, -621, -2459, 55, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54196, 2648, -233, -2300, 55, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54237, 3205, -268, -2561, 55, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54279, 3506, -675, -2683, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54322, 3527, -642, -2277, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54365, 3463, 139, -2170, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54408, 3517, -101, -2389, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54451, 3380, -225, -2463, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54494, 3347, -356, -2418, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54537, 3277, -412, -2382, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54580, 3179, -390, -2404, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54623, 2764, -354, -2276, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54666, 3273, -588, -2684, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54701, 3236, -585, -2614, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54737, 3386, -712, -2345, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54772, 3299, -482, -2297, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54808, 3383, -354, -2480, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54843, 3396, -605, -2431, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54879, 3285, -538, -2471, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54914, 3265, -538, -2448, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54950, 3247, -636, -2492, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
54985, 3184, -549, -2466, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55021, 3226, -614, -2486, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55056, 3255, -560, -2450, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55092, 3285, -620, -2418, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55128, 3303, -651, -2435, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55164, 3252, -531, -2447, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55200, 3249, -604, -2454, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55236, 3234, -544, -2438, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55272, 3249, -551, -2446, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55308, 3217, -572, -2468, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55344, 3213, -559, -2514, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55380, 3210, -672, -2408, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55416, 3246, -579, -2442, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55454, 3224, -541, -2488, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55493, 3235, -560, -2478, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55531, 3223, -539, -2478, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55570, 3224, -578, -2481, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55609, 3226, -616, -2472, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55647, 3242, -617, -2473, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
55686, 3262, -563, -2473, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
