272978, 3476, -75, -2332, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273021, 3624, -397, -2282, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273063, 3652, 63, -2425, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273106, 3491, -186, -2346, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273148, 3444, -20, -2293, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273191, 3547, 135, -2248, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273234, 3594, -29, -2394, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273272, 3614, -35, -2213, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273311, 3543, -337, -2355, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273349, 3455, -193, -2320, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273388, 3372, -74, -2457, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273426, 3195, -148, -2430, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273465, 3139, -176, -2488, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273503, 3181, -144, -2504, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273542, 3256, -66, -2414, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273580, 3317, -133, -2388, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273619, 3342, -51, -2369, 93, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273654, 3450, -206, -2463, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273689, 3331, -157, -2425, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273725, 3362, -191, -2349, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273760, 3377, -140, -2443, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273796, 3333, -197, -2416, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273831, 3217, -174, -2446, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273867, 3258, -57, -2441, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273902, 3328, -152, -2450, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273938, 3276, -147, -2399, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
273973, 3307, -159, -2385, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274009, 3392, -139, -2383, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274051, 3381, -140, -2445, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274093, 3351, 112, -2432, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274135, 3338, -134, -2402, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274177, 3323, -152, -2376, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274219, 3334, -198, -2406, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274261, 3292, -93, -2383, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274303, 3331, -69, -2355, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274345, 3382, -161, -2381, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274387, 3317, -160, -2412, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274429, 3303, -147, -2351, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274464, 3393, -123, -2355, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274500, 3361, -173, -2338, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
274535, 3410, -128, -2355, 94, 57a175c8-f99b-4eb8-baa7-17f3dd417251, , ruku, ruku, , 
