234931, 3236, -1485, -2060, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
234971, 3188, -1499, -2002, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235011, 3181, -1470, -2146, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235051, 3296, -1625, -2049, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235091, 3299, -1605, -1889, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235131, 3300, -1710, -2002, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235171, 3219, -1670, -2019, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235211, 3186, -1672, -2046, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235247, 3215, -1597, -2091, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235284, 3246, -1524, -2141, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235321, 3198, -1570, -2072, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235357, 3164, -1638, -2089, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235394, 3158, -1678, -2091, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235431, 3106, -1691, -2043, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235468, 3119, -1653, -2092, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235504, 3161, -1542, -2145, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235541, 3150, -1606, -2086, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235578, 3191, -1605, -2124, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235615, 3188, -1586, -2096, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235654, 3157, -1679, -1981, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235694, 3183, -1684, -2032, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235733, 3213, -1619, -2095, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235773, 3161, -1572, -2074, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235813, 3195, -1607, -2130, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235852, 3159, -1600, -2085, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235892, 3165, -1608, -2109, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235931, 3162, -1601, -2086, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
235971, 3167, -1581, -2092, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236011, 3169, -1578, -2068, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236049, 3169, -1617, -2059, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236087, 3176, -1623, -2096, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
236125, 3175, -1583, -2115, 103, 685a1674-e2b9-4ae0-a9a0-064ef631ea90, , ruku, ruku, , 
