72109, 3707, 320, -2130, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72146, 3784, 369, -2093, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72184, 3828, 376, -2201, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72220, 3882, 330, -2147, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72257, 3804, 135, -2137, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72294, 3609, 31, -2293, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72331, 3354, 68, -2344, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72368, 3231, -110, -2411, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72404, 3173, 27, -2448, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72441, 3093, -30, -2463, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72478, 3224, 141, -2405, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72515, 3357, 43, -2351, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72552, 3388, 150, -2333, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72589, 3445, 81, -2317, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72627, 3494, 131, -2280, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72666, 3536, 48, -2376, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72705, 3412, -39, -2359, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72744, 3334, 6, -2383, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72783, 3278, 27, -2364, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72822, 3308, -30, -2406, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72861, 3293, 16, -2375, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72900, 3309, 91, -2401, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72939, 3338, 57, -2365, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
72978, 3392, -39, -2322, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73018, 3409, 56, -2343, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73059, 3387, 34, -2383, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73100, 3375, 35, -2333, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73141, 3372, -36, -2353, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73182, 3357, 94, -2411, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73223, 3321, 35, -2373, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73264, 3329, -26, -2360, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73305, 3414, 40, -2348, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73346, 3413, 45, -2365, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73387, 3354, 43, -2333, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73428, 3414, 3, -2359, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73465, 3401, 6, -2331, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73503, 3343, 61, -2314, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73541, 3405, 84, -2361, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73579, 3365, 82, -2360, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73617, 3367, 58, -2316, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73654, 3392, 24, -2331, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73692, 3396, 92, -2333, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73730, 3393, 53, -2329, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73768, 3382, 80, -2329, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73806, 3407, 92, -2314, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73843, 3405, 59, -2327, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73880, 3380, 84, -2360, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73917, 3363, 85, -2317, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73955, 3391, 62, -2314, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
73992, 3421, 68, -2363, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74029, 3367, 81, -2328, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74067, 3422, 78, -2314, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74104, 3436, 43, -2289, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74141, 3385, 97, -2322, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74179, 3402, 91, -2341, 92, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74215, 3375, 73, -2301, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74252, 3380, 75, -2326, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74289, 3402, 75, -2336, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74325, 3375, 92, -2316, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74362, 3388, 69, -2313, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74399, 3432, 32, -2341, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74436, 3395, 63, -2314, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74472, 3380, 92, -2320, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
74509, 3396, 107, -2341, 93, 71ab057d-3f12-41a9-b943-69de43be6e0f, , ruku, ruku, , 
