85259, 3764, -452, -2215, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85298, 3542, -621, -2400, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85337, 3378, -549, -2371, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85376, 3203, -390, -2314, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85415, 3184, -346, -2509, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85453, 3212, -402, -2413, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85492, 3270, -389, -2452, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85531, 3272, -396, -2362, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85570, 3393, -502, -2282, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85609, 3440, -357, -2348, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85650, 3417, -486, -2371, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85691, 3388, -543, -2302, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85732, 3350, -423, -2377, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85773, 3317, -421, -2371, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85814, 3289, -427, -2397, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85855, 3267, -329, -2352, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85896, 3344, -410, -2345, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85937, 3327, -405, -2393, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
85978, 3334, -422, -2297, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
86019, 3300, -456, -2351, 92, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
