86475, 3945, 493, -1312, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86509, 3856, 546, -1320, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86544, 3898, 602, -1331, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86578, 3862, 570, -1296, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86613, 3862, 441, -1364, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86647, 3915, 452, -1397, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86682, 3885, 262, -1324, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86716, 3956, 332, -1455, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86751, 4057, 397, -1457, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86786, 4035, 332, -1521, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86828, 3883, 326, -1383, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86871, 3826, 321, -1312, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86913, 3847, 420, -1388, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86956, 3834, 375, -1427, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
86998, 3810, 378, -1453, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87041, 3897, 305, -1426, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87083, 3868, 334, -1411, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87126, 3877, 265, -1375, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87168, 3888, 326, -1432, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87211, 3800, 210, -1419, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87247, 3829, 338, -1508, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87283, 3793, 358, -1515, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87319, 3809, 282, -1501, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87356, 3810, 162, -1490, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87392, 3890, 202, -1473, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87428, 3917, 271, -1436, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87464, 3840, 244, -1460, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87501, 3873, 220, -1500, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87537, 3865, 251, -1442, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87573, 3874, 243, -1421, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87610, 3870, 223, -1427, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87645, 3948, 181, -1495, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87680, 3916, 226, -1519, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87715, 3807, -40, -1528, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87750, 3675, 288, -1572, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87785, 3624, 293, -1472, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87820, 3593, 329, -1387, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87855, 3888, 240, -1467, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
87890, 4029, 39, -1585, 90, ac4017ad-a507-41d6-93b6-515f9d02f28f, , ruku, ruku, , 
