148374, 3339, -597, -2362, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148412, 3251, -633, -2405, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148451, 3425, -670, -2470, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148490, 3444, -652, -2382, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148528, 3367, -662, -2228, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148567, 3382, -625, -2324, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148606, 3362, -464, -2419, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148644, 3274, -509, -2437, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148683, 3233, -489, -2437, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148722, 3227, -493, -2422, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148761, 3257, -446, -2461, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148799, 3285, -439, -2416, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148838, 3290, -437, -2384, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148876, 3336, -432, -2487, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148915, 3288, -443, -2392, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148954, 3332, -476, -2412, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
148992, 3303, -464, -2378, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149031, 3299, -484, -2399, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149070, 3308, -495, -2454, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149108, 3289, -400, -2417, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149147, 3264, -396, -2430, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149186, 3261, -467, -2451, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149219, 3253, -471, -2436, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149253, 3258, -316, -2406, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149286, 3281, -476, -2438, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149320, 3455, -520, -2369, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
149353, 3439, -644, -2514, 114, b66755ec-a5c7-45b6-9af7-d33c14257e7b, , ruku, ruku, , 
