133492, 3441, -953, -2179, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133530, 3458, -900, -2099, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133569, 3408, -895, -2157, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133605, 3396, -803, -2173, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133642, 3358, -911, -2190, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133679, 3366, -855, -2182, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133716, 3378, -992, -2192, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133753, 3390, -943, -2174, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133790, 3332, -894, -2177, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133827, 3368, -986, -2155, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133864, 3349, -930, -2218, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133901, 3284, -967, -2162, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133938, 3341, -1050, -2125, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
133975, 3356, -963, -2172, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134019, 3412, -1014, -2136, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134064, 3386, -1016, -2111, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134109, 3408, -1053, -2125, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134154, 3363, -1010, -2147, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134199, 3311, -1078, -2177, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134244, 3375, -1020, -2155, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134289, 3348, -1000, -2132, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134334, 3357, -1041, -2138, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134379, 3356, -991, -2156, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134424, 3387, -1004, -2157, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134458, 3379, -1038, -2131, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134493, 3358, -1037, -2163, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134527, 3354, -1050, -2150, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134562, 3354, -1025, -2127, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134596, 3365, -1024, -2137, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134631, 3369, -1054, -2140, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
134665, 3391, -1013, -2105, 74, c19634a5-f64e-48da-ac3b-8e8053ec0cd7, , ruku, ruku, , 
