441387, 3093, 784, -2343, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441426, 3086, 496, -2411, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441466, 3121, 668, -2514, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441505, 3058, 504, -2538, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441545, 3109, 496, -2512, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441584, 3003, 952, -2598, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441624, 3178, 1031, -2560, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441663, 3308, 628, -2493, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441703, 3272, 740, -2534, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441741, 3177, 615, -2599, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441779, 3149, 641, -2597, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441817, 3110, 488, -2596, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441856, 2947, 783, -2792, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441894, 2905, 720, -2841, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441932, 2899, 588, -2737, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
441971, 2948, 553, -2715, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442009, 2923, 555, -2840, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442047, 2947, 588, -2841, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442086, 2976, 603, -2784, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442122, 3012, 526, -2843, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442159, 3006, 482, -2872, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442195, 2938, 549, -2886, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442232, 2892, 577, -2862, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442269, 2871, 631, -2869, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442305, 2847, 598, -2819, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442342, 2887, 582, -2832, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442379, 2907, 595, -2827, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442415, 2904, 568, -2834, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442452, 2898, 639, -2823, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442489, 2928, 598, -2813, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442529, 2923, 631, -2798, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442569, 2953, 562, -2814, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442609, 2938, 602, -2783, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442650, 2958, 535, -2801, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442690, 2936, 568, -2822, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442730, 2962, 603, -2793, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442771, 2963, 591, -2807, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442811, 2948, 572, -2769, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442851, 2993, 571, -2760, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442892, 2936, 604, -2776, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442929, 2940, 565, -2800, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
442966, 2976, 565, -2799, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443004, 2943, 558, -2791, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443041, 2947, 558, -2783, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443079, 2949, 604, -2794, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443116, 2958, 582, -2776, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443154, 2968, 559, -2780, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443191, 2942, 599, -2780, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443229, 2980, 591, -2805, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443266, 2967, 533, -2777, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443304, 2968, 560, -2776, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443350, 2942, 596, -2787, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443396, 2942, 572, -2756, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443443, 2986, 585, -2786, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443489, 2966, 578, -2761, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443536, 2968, 570, -2766, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443582, 2999, 572, -2773, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443628, 2954, 569, -2775, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443675, 2982, 632, -2776, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443721, 2951, 577, -2770, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443768, 2977, 561, -2795, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443803, 2970, 589, -2784, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443838, 2971, 578, -2793, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443873, 2977, 585, -2785, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443908, 2934, 591, -2770, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443943, 3000, 599, -2785, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
443978, 2982, 620, -2755, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444013, 2955, 602, -2789, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444048, 2958, 578, -2758, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444083, 3000, 584, -2763, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444118, 2967, 591, -2777, 66, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444158, 2947, 586, -2772, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444198, 2979, 569, -2780, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444239, 2991, 605, -2762, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444279, 2969, 577, -2765, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444319, 2970, 576, -2766, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444360, 2981, 585, -2748, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444400, 3003, 570, -2752, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444440, 2969, 575, -2761, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444481, 3005, 589, -2761, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444521, 2990, 592, -2745, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444562, 2993, 578, -2771, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444596, 2956, 570, -2757, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444631, 2987, 571, -2760, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444665, 2967, 584, -2753, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444700, 2985, 565, -2738, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444734, 2983, 571, -2764, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444769, 2973, 584, -2737, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444803, 2999, 551, -2785, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444838, 2984, 543, -2761, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444872, 2978, 591, -2764, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444907, 2962, 596, -2775, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444943, 2971, 583, -2749, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
444980, 3000, 557, -2756, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445017, 2984, 568, -2763, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445054, 3008, 591, -2762, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445091, 3013, 565, -2768, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445127, 2981, 562, -2758, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445164, 2977, 565, -2747, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445201, 2994, 553, -2754, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445238, 2971, 581, -2753, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445275, 2999, 569, -2754, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445312, 2996, 545, -2753, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445352, 3012, 579, -2749, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445393, 2978, 569, -2745, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445434, 3003, 590, -2758, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445475, 3014, 576, -2743, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445516, 3012, 570, -2737, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445556, 2999, 544, -2743, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445597, 3019, 557, -2729, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445638, 3017, 576, -2718, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445679, 3001, 584, -2735, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445720, 3006, 570, -2708, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445758, 3028, 573, -2740, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445797, 2995, 579, -2736, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445836, 3022, 577, -2740, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445875, 3003, 578, -2717, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
445914, 3001, 557, -2718, 68, c90031a7-3433-45f2-9d5e-90c6d16bb7fb, , ruku, ruku, , 
