337794, 3235, 116, -2519, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
337834, 2982, 153, -2568, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
337874, 2989, 146, -2403, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
337914, 2979, 174, -2520, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
337954, 3150, 257, -2556, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
337994, 3204, -13, -2378, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338034, 3342, 181, -2336, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338069, 3486, 288, -2424, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338104, 3476, 82, -2319, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338140, 3429, 106, -2366, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338175, 3385, 216, -2475, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338210, 3311, 233, -2440, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338246, 3238, 204, -2469, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338281, 3263, 264, -2450, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338316, 3204, 142, -2473, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338352, 3300, 185, -2427, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338387, 3276, 188, -2424, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338423, 3315, 233, -2431, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338464, 3338, 211, -2434, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338505, 3339, 174, -2386, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338546, 3328, 67, -2424, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338587, 3302, 240, -2449, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338628, 3240, 256, -2483, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338669, 3282, 312, -2438, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338710, 3270, 219, -2416, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338751, 3305, 193, -2419, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338792, 3337, 222, -2467, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338834, 3362, 169, -2403, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338874, 3325, 170, -2447, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338915, 3278, 239, -2413, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338955, 3314, 207, -2414, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
338996, 3314, 195, -2465, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339036, 3274, 216, -2407, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339077, 3321, 197, -2452, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339117, 3335, 201, -2418, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339158, 3337, 219, -2429, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339198, 3311, 229, -2415, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339239, 3301, 225, -2413, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339273, 3339, 150, -2424, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339308, 3316, 211, -2436, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339343, 3327, 211, -2401, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
339378, 3327, 148, -2428, 95, cbafbac3-ec14-470c-b478-7e37157f414d, , ruku, ruku, , 
