41032, 3137, 259, -2298, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41071, 3460, -36, -2384, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41109, 3478, -33, -2506, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41148, 3355, -276, -2431, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41186, 3311, -43, -2515, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41225, 3342, -98, -2369, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41263, 3276, -80, -2342, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41302, 3345, -177, -2266, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41337, 3244, -344, -2785, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41372, 3122, 92, -2748, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41407, 3225, 126, -2616, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41442, 3242, 73, -2494, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41477, 3183, 75, -2484, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41513, 3275, 54, -2533, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41548, 3328, -75, -2717, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41583, 3269, -35, -2615, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41618, 3120, 293, -2494, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41653, 3151, 57, -2553, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41689, 3227, -46, -2605, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41736, 3210, 23, -2533, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
41784, 3321, -103, -2591, 66, d04abb05-0881-47a6-917b-601e1489d266, , ruku, ruku, , 
