74343, 2938, -694, -2733, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74379, 2945, -635, -2683, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74416, 2974, -649, -2572, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74452, 3095, -478, -2810, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74489, 3195, -587, -2879, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74525, 3168, -558, -2765, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74562, 3131, -387, -2760, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74601, 3109, -503, -2713, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74641, 3065, -429, -2703, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74680, 3029, -625, -2676, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74720, 3050, -485, -2728, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74759, 3053, -654, -2708, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74799, 3028, -519, -2645, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74838, 3097, -708, -2694, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74878, 3037, -522, -2463, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74917, 3115, -571, -2619, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74957, 3181, -630, -2669, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
74993, 3087, -657, -2612, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75029, 3073, -490, -2594, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75066, 3091, -575, -2662, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75102, 3092, -530, -2606, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75139, 3124, -649, -2537, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75175, 3136, -608, -2639, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75212, 3083, -657, -2591, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75248, 3157, -570, -2627, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75285, 3092, -632, -2599, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75321, 3138, -583, -2570, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75358, 3073, -845, -2629, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75402, 3174, -685, -2657, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75447, 3106, -668, -2601, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75492, 3174, -554, -2656, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75537, 3116, -652, -2584, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75582, 3128, -587, -2632, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75627, 3074, -614, -2643, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75672, 3098, -534, -2587, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75717, 3077, -602, -2600, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75762, 3149, -636, -2524, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75807, 3149, -658, -2607, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75841, 3107, -572, -2609, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75876, 3132, -588, -2620, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75910, 3095, -611, -2594, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75945, 3093, -572, -2636, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
75979, 3138, -658, -2632, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76014, 3121, -623, -2594, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76048, 3128, -606, -2627, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76083, 3108, -557, -2600, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76117, 3132, -604, -2628, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76152, 3083, -578, -2590, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76190, 3101, -615, -2624, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76228, 3126, -576, -2627, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76267, 3099, -629, -2606, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76305, 3155, -636, -2620, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76343, 3076, -600, -2620, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76382, 3111, -607, -2624, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76420, 3107, -634, -2639, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76458, 3118, -573, -2618, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76497, 3095, -623, -2640, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76535, 3078, -571, -2639, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76574, 3114, -622, -2630, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76611, 3084, -609, -2636, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76648, 3066, -645, -2632, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76685, 3108, -624, -2644, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76723, 3071, -545, -2638, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76760, 3108, -618, -2650, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76797, 3081, -587, -2647, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76835, 3090, -676, -2623, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76872, 3092, -612, -2651, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76909, 3090, -620, -2653, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76947, 3132, -641, -2614, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
76984, 3101, -616, -2639, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
77021, 3099, -615, -2641, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
77058, 3105, -612, -2628, 99, edd09cb6-9451-4e8d-b1e1-90741dd615e1, , ruku, ruku, , 
