92849, 2622, 2057, 2340, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
92885, 2651, 2203, 2489, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
92922, 2810, 2135, 2161, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
92959, 2790, 2100, 2219, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
92996, 2573, 2188, 2285, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93033, 2703, 2011, 2323, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93070, 2678, 2196, 2244, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93111, 2803, 2300, 2226, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93153, 2799, 2142, 2169, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93194, 2771, 2022, 2200, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93236, 2808, 2164, 2143, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93277, 2775, 2125, 2242, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93319, 2781, 2111, 2260, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93360, 2792, 2144, 2183, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93402, 2766, 2202, 2230, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93443, 2801, 2071, 2193, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93485, 2813, 2139, 2179, 75, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93519, 2826, 2128, 2197, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93553, 2830, 2120, 2140, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93588, 2830, 2118, 2158, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93622, 2859, 2047, 2175, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93657, 2842, 2086, 2178, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93691, 2879, 2030, 2167, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93726, 2871, 2060, 2176, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93760, 2858, 2081, 2138, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93795, 2879, 2040, 2151, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93829, 2868, 2137, 2131, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93864, 2864, 2121, 2128, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93904, 2878, 2087, 2129, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93945, 2859, 2116, 2125, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
93985, 2899, 2093, 2126, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94026, 2901, 2098, 2121, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94066, 2879, 2092, 2117, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94107, 2888, 2111, 2119, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94147, 2894, 2089, 2121, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94188, 2890, 2111, 2115, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94228, 2842, 2137, 2162, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94269, 2906, 2050, 2116, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94309, 2872, 2080, 2156, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94349, 2883, 2068, 2162, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94389, 2858, 2037, 2152, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94429, 2864, 2068, 2137, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94469, 2876, 2071, 2146, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94509, 2883, 2076, 2131, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
94549, 2910, 2014, 2138, 78, 030a1dbb-a0cc-4b27-8614-021e93ce025c, , sujud, sujud, , 
