59122, 2877, 2302, 1983, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59157, 2774, 2349, 2025, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59192, 2846, 2256, 2044, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59228, 2862, 2316, 1961, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59263, 2786, 2360, 1945, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59298, 2875, 2333, 1899, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59334, 2944, 2259, 1814, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59369, 2921, 2341, 1784, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59404, 2901, 2347, 1761, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59440, 2793, 2502, 1765, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59476, 2866, 2451, 1721, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59513, 2869, 2441, 1688, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59550, 2879, 2444, 1699, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59586, 2897, 2454, 1709, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59623, 2961, 2396, 1744, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59660, 2993, 2271, 1697, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59697, 2936, 2304, 1718, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
59733, 2975, 2274, 1731, 85, 0536a5e6-4576-4117-9852-19886bfae0b0, , sujud, sujud, , 
