346235, 3036, 688, 2753, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346275, 3018, 736, 2762, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346314, 3012, 757, 2779, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346354, 3030, 706, 2769, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346394, 3060, 746, 2731, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346434, 3047, 736, 2729, 91, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346473, 3059, 741, 2680, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346512, 3057, 742, 2706, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346552, 3081, 756, 2668, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346591, 3084, 827, 2663, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346631, 3079, 814, 2666, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346670, 3106, 792, 2672, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346710, 3122, 788, 2631, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346749, 3114, 791, 2635, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346789, 3094, 804, 2624, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346828, 3125, 809, 2631, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346868, 3152, 823, 2571, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346904, 3152, 965, 2565, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346940, 3156, 903, 2506, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
346976, 3155, 932, 2502, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347013, 3141, 1038, 2510, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347049, 3154, 1004, 2487, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347085, 3142, 1054, 2487, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347122, 3182, 967, 2465, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347158, 3184, 959, 2473, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347194, 3185, 962, 2469, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347231, 3194, 997, 2514, 93, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347270, 3185, 964, 2474, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347309, 3205, 948, 2479, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347348, 3202, 989, 2470, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347387, 3202, 996, 2440, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347426, 3211, 1031, 2466, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347465, 3202, 1026, 2455, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347504, 3187, 1038, 2450, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347543, 3195, 1051, 2423, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347582, 3219, 1041, 2425, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347621, 3218, 994, 2418, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347661, 3216, 1003, 2429, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347697, 3223, 957, 2431, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347733, 3200, 989, 2442, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347770, 3220, 942, 2427, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347806, 3240, 968, 2418, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347843, 3243, 929, 2415, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347879, 3235, 982, 2408, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347915, 3262, 969, 2421, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347952, 3262, 957, 2410, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
347988, 3227, 979, 2436, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348025, 3231, 964, 2431, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348065, 3230, 952, 2435, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
348106, 3236, 972, 2425, 95, 059d6207-ad53-442f-bca2-ba7fbb75bde0, , sujud, sujud, , 
