430742, 3767, 1034, 1431, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
430778, 3754, 896, 1416, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
430814, 3750, 1080, 1445, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
430855, 3786, 908, 1422, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
430897, 3786, 930, 1444, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
430939, 3738, 998, 1402, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
430980, 3771, 943, 1468, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431022, 3805, 970, 1391, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431064, 3712, 1068, 1439, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431105, 3750, 962, 1389, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431147, 3760, 1100, 1400, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431189, 3768, 997, 1386, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431231, 3791, 1049, 1398, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431266, 3778, 993, 1421, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431301, 3769, 1034, 1411, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431336, 3780, 1036, 1377, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431371, 3799, 1017, 1364, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431406, 3780, 1021, 1354, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431442, 3791, 1010, 1397, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431477, 3772, 964, 1377, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431512, 3781, 983, 1398, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431547, 3785, 962, 1397, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431582, 3776, 959, 1416, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431618, 3766, 990, 1375, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431657, 3840, 735, 1464, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431697, 3784, 981, 1391, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431736, 3804, 982, 1383, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431776, 3783, 950, 1427, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431816, 3785, 942, 1391, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431855, 3792, 978, 1411, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431895, 3783, 970, 1394, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431934, 3794, 959, 1410, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
431974, 3789, 957, 1364, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432014, 3792, 994, 1391, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432054, 3776, 963, 1390, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432094, 3778, 991, 1393, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
432134, 3798, 971, 1399, 74, 0babd8a2-ef69-4656-9a87-50ab5b2a8fd4, , sujud, sujud, , 
