148767, 2994, 833, 2773, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
148804, 2931, 844, 2841, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
148841, 2962, 865, 2798, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
148881, 3042, 820, 2716, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
148921, 2996, 851, 2768, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
148961, 2982, 847, 2749, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149002, 2998, 829, 2774, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149042, 3007, 815, 2747, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149082, 3031, 838, 2715, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149123, 3047, 807, 2746, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149163, 3024, 829, 2728, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149203, 3060, 815, 2670, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149244, 3095, 795, 2650, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149283, 3099, 775, 2644, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149322, 3133, 719, 2628, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149361, 3130, 746, 2621, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149400, 3144, 757, 2645, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149439, 3126, 729, 2634, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149478, 3181, 615, 2638, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149517, 3144, 648, 2616, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149556, 3150, 629, 2625, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149595, 3157, 604, 2632, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149635, 3149, 619, 2648, 95, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149676, 3167, 572, 2649, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149717, 3133, 556, 2659, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149758, 3156, 573, 2680, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149799, 3162, 579, 2661, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149840, 3132, 588, 2640, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149881, 3155, 593, 2672, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149922, 3142, 602, 2641, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
149963, 3142, 602, 2668, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150004, 3147, 569, 2653, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150045, 3136, 582, 2656, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150086, 3142, 566, 2686, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150122, 3120, 558, 2662, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150159, 3131, 583, 2665, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150196, 3110, 591, 2678, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150232, 3137, 558, 2663, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150269, 3141, 554, 2669, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150306, 3141, 532, 2690, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150342, 3138, 526, 2672, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150379, 3144, 496, 2685, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150416, 3129, 552, 2710, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150453, 3104, 543, 2689, 96, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150491, 3138, 522, 2689, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150529, 3135, 530, 2685, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150567, 3123, 509, 2695, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150605, 3135, 494, 2688, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150643, 3124, 517, 2685, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150681, 3118, 500, 2691, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150719, 3097, 484, 2705, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150757, 3121, 477, 2723, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150795, 3116, 472, 2698, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150833, 3128, 471, 2726, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150872, 3134, 483, 2725, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150911, 3127, 482, 2712, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150950, 3117, 479, 2708, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
150989, 3125, 452, 2722, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151028, 3137, 433, 2711, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151067, 3127, 471, 2738, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151106, 3120, 437, 2721, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151145, 3102, 469, 2724, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151184, 3084, 457, 2728, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151223, 3131, 461, 2719, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151263, 3116, 446, 2715, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151301, 3118, 467, 2699, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151339, 3110, 492, 2698, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151377, 3128, 484, 2717, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151416, 3105, 476, 2706, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151454, 3124, 475, 2728, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151492, 3079, 471, 2701, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151531, 3115, 458, 2709, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151569, 3118, 484, 2726, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151607, 3116, 454, 2712, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151646, 3127, 467, 2721, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151681, 3135, 463, 2699, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151717, 3113, 450, 2720, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151752, 3118, 475, 2715, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
151788, 3119, 468, 2701, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
