238691, 2475, 2318, 2383, 85, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238731, 2487, 2247, 2406, 85, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238772, 2459, 2330, 2349, 85, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238807, 2478, 2309, 2402, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238842, 2492, 2256, 2407, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238877, 2485, 2246, 2406, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238913, 2528, 2252, 2417, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238948, 2551, 2219, 2413, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
238983, 2495, 2319, 2362, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239018, 2469, 2309, 2380, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239054, 2470, 2322, 2382, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239089, 2473, 2308, 2403, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239124, 2445, 2317, 2417, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239160, 2472, 2329, 2374, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239200, 2490, 2314, 2364, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239241, 2463, 2301, 2408, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239282, 2477, 2279, 2424, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
239323, 2485, 2304, 2395, 83, 1444b54b-b2b2-4937-b402-a1a8cb4a0fd2, , sujud, sujud, , 
