70013, 3851, 1028, 1112, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70052, 3828, 1090, 1100, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70092, 3842, 1092, 1141, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70132, 3835, 1092, 1111, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70171, 3836, 1073, 1140, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70211, 3818, 1040, 1101, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70251, 3859, 1059, 1113, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70289, 3865, 1076, 1156, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70327, 3838, 1059, 1115, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70365, 3854, 1029, 1138, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70403, 3836, 1073, 1125, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70442, 3837, 1103, 1127, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70480, 3864, 1053, 1131, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70518, 3839, 1051, 1123, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70556, 3829, 1054, 1116, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70594, 3849, 1063, 1118, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70633, 3862, 1040, 1115, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70676, 3840, 1144, 1103, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70719, 3852, 1034, 1097, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70763, 3851, 1075, 1134, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70806, 3840, 1059, 1130, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70850, 3854, 1076, 1118, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70893, 3845, 1060, 1108, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70936, 3849, 1081, 1132, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
70980, 3861, 1045, 1135, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
71023, 3864, 1076, 1128, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
71067, 3841, 1063, 1132, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
71100, 3852, 1074, 1137, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
71133, 3828, 1106, 1137, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
71166, 3824, 1173, 1156, 97, 14622e7c-878e-4572-8a05-0a987c843927, , sujud, sujud, , 
