361518, 3508, 1586, 1592, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361555, 3474, 1578, 1601, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361592, 3494, 1583, 1581, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361629, 3523, 1567, 1591, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361666, 3499, 1583, 1597, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361703, 3504, 1566, 1592, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361739, 3522, 1579, 1595, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361776, 3493, 1596, 1602, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361813, 3487, 1583, 1592, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361850, 3515, 1562, 1605, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361887, 3492, 1590, 1616, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361923, 3505, 1589, 1600, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361960, 3489, 1562, 1604, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
361997, 3499, 1565, 1607, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362034, 3501, 1571, 1596, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362071, 3478, 1574, 1590, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362108, 3479, 1572, 1608, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362149, 3490, 1560, 1592, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362190, 3463, 1589, 1612, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362231, 3515, 1587, 1600, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362272, 3486, 1585, 1598, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362313, 3501, 1571, 1579, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362354, 3515, 1569, 1590, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362395, 3486, 1570, 1599, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362436, 3490, 1575, 1581, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362477, 3503, 1596, 1591, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362518, 3490, 1562, 1589, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362554, 3507, 1561, 1605, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362590, 3484, 1593, 1588, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362627, 3484, 1584, 1603, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362663, 3480, 1558, 1598, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362699, 3492, 1576, 1591, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362736, 3478, 1586, 1596, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
362772, 3471, 1569, 1606, 75, 1793a1f0-02fa-43aa-b858-df7e39d733fe, , sujud, sujud, , 
