50900, 3171, 2045, 1689, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
50940, 3196, 2032, 1657, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
50980, 3239, 2008, 1647, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51020, 3234, 2039, 1586, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51060, 3286, 2018, 1561, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51100, 3308, 2017, 1476, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51140, 3325, 1996, 1428, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51180, 3310, 2056, 1407, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51220, 3327, 2035, 1360, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51260, 3354, 1976, 1326, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51300, 3353, 2041, 1344, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51335, 3399, 1996, 1312, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51370, 3377, 1994, 1284, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51406, 3414, 1981, 1311, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51441, 3422, 1969, 1265, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51476, 3423, 1976, 1277, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51512, 3415, 1931, 1263, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51547, 3417, 1954, 1251, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51582, 3443, 1904, 1238, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51618, 3447, 1933, 1234, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51653, 3439, 1912, 1221, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51689, 3440, 1934, 1233, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51730, 3473, 1929, 1222, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51771, 3448, 1943, 1230, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51812, 3472, 1902, 1216, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51853, 3467, 1935, 1207, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51894, 3482, 1939, 1211, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51935, 3481, 1915, 1194, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
51976, 3481, 1906, 1193, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52017, 3492, 1906, 1162, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52058, 3488, 1936, 1178, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52100, 3474, 1918, 1191, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52140, 3479, 1905, 1182, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52180, 3464, 1897, 1203, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52220, 3493, 1888, 1169, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52260, 3479, 1904, 1175, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52300, 3460, 1883, 1180, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52340, 3491, 1914, 1191, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52380, 3492, 1887, 1191, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52420, 3508, 1912, 1191, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52460, 3496, 1893, 1189, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52500, 3495, 1867, 1162, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52536, 3489, 1894, 1194, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52573, 3489, 1904, 1202, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52609, 3485, 1891, 1236, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52646, 3468, 1911, 1214, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52683, 3478, 1925, 1223, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52719, 3473, 1902, 1223, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52756, 3473, 1925, 1216, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52793, 3451, 1924, 1215, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52829, 3459, 1900, 1217, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52866, 3471, 1909, 1220, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52903, 3484, 1908, 1227, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
52945, 3475, 1890, 1228, 69, 1829f568-3ace-4d1d-a93e-4f7030900665, , sujud, sujud, , 
