184539, 3389, 1980, 1438, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184579, 3315, 1921, 1411, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184619, 3313, 2036, 1487, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184659, 3312, 1933, 1484, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184699, 3287, 2026, 1495, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184739, 3360, 1934, 1502, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184779, 3370, 1919, 1486, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184817, 3372, 1893, 1506, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184855, 3345, 1976, 1492, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184893, 3342, 1935, 1464, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184932, 3358, 1949, 1445, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
184970, 3354, 1959, 1417, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185008, 3339, 2015, 1430, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185046, 3316, 2002, 1395, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185085, 3321, 2016, 1403, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185123, 3358, 2022, 1409, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185161, 3360, 1993, 1403, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185200, 3344, 1972, 1402, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185237, 3360, 1953, 1382, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185275, 3371, 1976, 1403, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185313, 3374, 1965, 1370, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185351, 3390, 1979, 1354, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185389, 3401, 1995, 1300, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185426, 3375, 1991, 1277, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185464, 3395, 1995, 1254, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185502, 3418, 1987, 1240, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185540, 3414, 1990, 1255, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185578, 3421, 1987, 1226, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185615, 3427, 2019, 1211, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185653, 3423, 2012, 1188, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185691, 3448, 1987, 1140, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185729, 3472, 1955, 1089, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185767, 3513, 1945, 1076, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185805, 3504, 1957, 1042, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185843, 3496, 1963, 1002, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185881, 3488, 1971, 1008, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185919, 3527, 1892, 1003, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185957, 3428, 2011, 972, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
185995, 3453, 1983, 1025, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
186032, 3486, 1982, 1064, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
186069, 3489, 1956, 1056, 100, 2f00bd70-9b1a-4dd3-be86-d323c86aed36, , sujud, sujud, , 
