183071, 3141, 2094, 1769, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183112, 3141, 2115, 1724, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183154, 3161, 2106, 1701, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183196, 3177, 2116, 1678, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183238, 3166, 2122, 1641, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183280, 3164, 2132, 1641, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183321, 3151, 2142, 1619, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183363, 3136, 2158, 1605, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183405, 3148, 2174, 1606, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183447, 3151, 2154, 1610, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183489, 3151, 2163, 1605, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183522, 3143, 2169, 1597, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183555, 3159, 2157, 1614, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183588, 3169, 2152, 1602, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183622, 3172, 2149, 1582, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183655, 3170, 2163, 1557, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183688, 3167, 2182, 1554, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183721, 3155, 2177, 1575, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183755, 3166, 2164, 1552, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183788, 3159, 2175, 1573, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183821, 3170, 2195, 1573, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183855, 3163, 2154, 1561, 101, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183896, 3188, 2171, 1564, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183937, 3160, 2176, 1557, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
183979, 3176, 2155, 1543, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184020, 3178, 2174, 1558, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184062, 3153, 2186, 1541, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184103, 3176, 2161, 1514, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184144, 3169, 2174, 1572, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184186, 3159, 2167, 1570, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184227, 3175, 2180, 1575, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184269, 3149, 2182, 1546, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184307, 3133, 2174, 1561, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184346, 3160, 2163, 1604, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184384, 3143, 2141, 1609, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184423, 3176, 2131, 1608, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184461, 3184, 2131, 1628, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
184500, 3092, 2180, 1561, 103, 2fb79243-234a-49bc-aa55-50b676903e0b, , sujud, sujud, , 
