81673, 2915, 2523, 1446, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81708, 2914, 2589, 1467, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81742, 2915, 2568, 1452, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81777, 2890, 2594, 1454, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81812, 2896, 2572, 1417, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81846, 2885, 2594, 1445, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81881, 2889, 2575, 1451, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81916, 2919, 2548, 1455, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81956, 2922, 2540, 1453, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
81996, 2904, 2553, 1452, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82036, 2938, 2554, 1455, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82076, 2897, 2556, 1439, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82116, 2914, 2601, 1432, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82156, 2912, 2624, 1422, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82196, 2861, 2572, 1429, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82236, 2978, 2490, 1431, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82276, 2984, 2440, 1496, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82317, 2966, 2426, 1499, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82355, 2992, 2411, 1538, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82394, 3009, 2393, 1521, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82433, 2987, 2397, 1512, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82471, 2982, 2422, 1506, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82510, 2984, 2465, 1491, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82549, 3013, 2483, 1484, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82587, 2940, 2499, 1439, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82626, 2997, 2509, 1427, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82665, 2981, 2459, 1446, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82704, 2993, 2449, 1452, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82741, 3000, 2463, 1488, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82778, 3000, 2416, 1486, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82815, 2974, 2436, 1488, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82853, 2977, 2435, 1485, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82890, 3006, 2449, 1487, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82927, 2976, 2449, 1471, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
82964, 2974, 2481, 1462, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83002, 2988, 2459, 1475, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83039, 2994, 2429, 1448, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83076, 2977, 2463, 1487, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83114, 2983, 2461, 1468, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83155, 2993, 2464, 1476, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83197, 3008, 2460, 1487, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83239, 3010, 2447, 1465, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83280, 2970, 2458, 1456, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83322, 2975, 2482, 1455, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83364, 2985, 2481, 1463, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83405, 2975, 2455, 1458, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83447, 2976, 2505, 1460, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83489, 2965, 2472, 1464, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83531, 2965, 2483, 1448, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83568, 2976, 2475, 1451, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83605, 3002, 2493, 1420, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83643, 2962, 2501, 1381, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83680, 2977, 2502, 1416, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83718, 2977, 2506, 1417, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83755, 2965, 2520, 1439, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83792, 2963, 2498, 1450, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83830, 2976, 2474, 1451, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
83867, 2965, 2465, 1468, 93, 386f2d0a-ab76-49f9-bab9-bf51a135c195, , sujud, sujud, , 
