95742, 2910, 585, 2933, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
95780, 2943, 607, 2899, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
95817, 2969, 674, 2851, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
95855, 2968, 598, 2841, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
95892, 2978, 609, 2829, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
95930, 3005, 602, 2826, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
95967, 3021, 578, 2821, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96005, 3033, 573, 2791, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96043, 3062, 639, 2753, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96081, 3065, 658, 2709, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96119, 3060, 668, 2680, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96157, 3107, 611, 2729, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96195, 3079, 632, 2711, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96234, 3066, 607, 2728, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96272, 3078, 601, 2751, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96310, 3099, 568, 2726, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96348, 3094, 558, 2736, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96386, 3075, 548, 2747, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96425, 3082, 491, 2725, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96464, 3116, 491, 2738, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96503, 3098, 494, 2726, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96543, 3082, 485, 2724, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96582, 3069, 458, 2732, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96622, 3080, 492, 2743, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96661, 3103, 485, 2753, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96700, 3098, 483, 2744, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96740, 3092, 455, 2735, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96779, 3104, 477, 2738, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96819, 3105, 433, 2719, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
96857, 3108, 465, 2748, 95, 420238f7-110e-4642-9fac-dc9f4c3a7d13, , sujud, sujud, , 
