257362, 3505, 2084, 660, 86, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257402, 3493, 2048, 668, 86, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257442, 3514, 2126, 683, 86, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257483, 3541, 2119, 657, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257524, 3532, 2170, 641, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257565, 3549, 2026, 635, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257606, 3605, 2111, 671, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257647, 3461, 2074, 640, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257688, 3467, 2089, 642, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257730, 3461, 2140, 649, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257771, 3473, 2140, 639, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257812, 3491, 2086, 633, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257853, 3520, 2135, 680, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257894, 3473, 2129, 662, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257935, 3486, 2156, 705, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
257977, 3513, 2088, 672, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258011, 3493, 2091, 676, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
258045, 3461, 2098, 661, 85, 453e28e8-9818-447f-9f77-2ff81d0465cd, , sujud, sujud, , 
