528503, 3178, 1338, 1939, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528537, 3407, 1730, 1953, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528572, 3338, 1500, 1898, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528607, 3290, 1733, 1946, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528642, 3332, 1619, 1866, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528677, 3345, 1605, 1928, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528712, 3324, 1551, 1895, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528747, 3391, 1564, 1931, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528782, 3384, 1475, 1899, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528817, 3441, 1445, 1899, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528852, 3359, 1537, 1752, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528887, 3449, 1550, 1725, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528929, 3474, 1468, 1667, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
528971, 3442, 1431, 1675, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529014, 3359, 1590, 1700, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529056, 3454, 1585, 1725, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529099, 3467, 1659, 1721, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529141, 3461, 1596, 1669, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529183, 3448, 1618, 1703, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529226, 3499, 1586, 1677, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529268, 3459, 1585, 1660, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529311, 3493, 1583, 1614, 83, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529350, 3523, 1732, 1457, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529389, 3551, 1669, 1477, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529429, 3491, 1699, 1472, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529468, 3518, 1637, 1501, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529508, 3519, 1577, 1542, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529547, 3492, 1556, 1556, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529586, 3530, 1573, 1571, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529626, 3505, 1565, 1511, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529665, 3529, 1582, 1483, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529705, 3559, 1591, 1500, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529739, 3549, 1574, 1476, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529774, 3546, 1556, 1476, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529809, 3534, 1553, 1488, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529843, 3547, 1518, 1490, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529878, 3568, 1536, 1501, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529913, 3570, 1601, 1488, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529948, 3540, 1574, 1504, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
529982, 3546, 1559, 1496, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530017, 3559, 1553, 1486, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530052, 3537, 1605, 1479, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530087, 3547, 1545, 1446, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530127, 3550, 1580, 1450, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530168, 3562, 1555, 1457, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530208, 3541, 1552, 1489, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530249, 3534, 1545, 1464, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530290, 3553, 1550, 1492, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530330, 3558, 1553, 1460, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530371, 3550, 1578, 1488, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530411, 3552, 1577, 1468, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530452, 3543, 1567, 1451, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530493, 3555, 1575, 1459, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530532, 3549, 1574, 1488, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530571, 3547, 1586, 1465, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530610, 3521, 1583, 1475, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530649, 3546, 1593, 1479, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530689, 3569, 1565, 1474, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530728, 3522, 1593, 1482, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530767, 3515, 1579, 1486, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530806, 3527, 1563, 1453, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530845, 3524, 1597, 1468, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530885, 3536, 1586, 1480, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530921, 3535, 1574, 1475, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530958, 3556, 1568, 1477, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
530994, 3540, 1592, 1465, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531031, 3542, 1579, 1473, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531067, 3514, 1581, 1459, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
531104, 3531, 1609, 1445, 84, 4b55f123-6a82-4e4c-a6a3-8aaa7a8447d4, , sujud, sujud, , 
