65765, 2720, 2520, 1638, 89, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
65800, 2681, 2691, 1702, 89, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
65834, 2683, 2715, 1643, 89, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
65869, 2781, 2673, 1565, 89, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
65909, 2815, 2671, 1531, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
65949, 2884, 2563, 1572, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
65989, 2787, 2654, 1578, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66030, 2776, 2627, 1599, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66070, 2805, 2565, 1569, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66110, 2842, 2495, 1545, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66151, 2794, 2583, 1623, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66191, 2841, 2574, 1636, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66231, 2755, 2605, 1623, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66272, 2819, 2539, 1652, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66308, 2819, 2505, 1642, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66345, 2852, 2509, 1650, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66382, 2842, 2514, 1640, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66418, 2871, 2471, 1696, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66455, 2891, 2435, 1704, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66492, 2833, 2464, 1696, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66529, 2831, 2515, 1689, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66565, 2844, 2535, 1676, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66602, 2869, 2541, 1648, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66639, 2843, 2551, 1604, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66676, 2874, 2556, 1615, 90, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66715, 2853, 2535, 1626, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66754, 2853, 2520, 1609, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66793, 2853, 2550, 1624, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66832, 2877, 2506, 1635, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66872, 2848, 2470, 1652, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66911, 2869, 2495, 1681, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66950, 2851, 2495, 1665, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
66989, 2834, 2531, 1662, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67028, 2849, 2497, 1646, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67068, 2842, 2502, 1650, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67108, 2839, 2536, 1654, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67148, 2849, 2517, 1647, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67188, 2842, 2536, 1666, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67228, 2833, 2496, 1678, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67269, 2853, 2504, 1674, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67309, 2869, 2495, 1661, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67349, 2852, 2509, 1672, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67389, 2829, 2534, 1657, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67429, 2807, 2610, 1733, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67470, 2844, 2512, 1675, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
67506, 2729, 2599, 1740, 91, 527989f8-3dce-49bc-83f5-2a706a468d4b, , sujud, sujud, , 
