247022, 2918, 1215, 2679, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247064, 2940, 1270, 2684, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247106, 2953, 1275, 2632, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247149, 2918, 1316, 2662, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247191, 2912, 1266, 2647, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247234, 2916, 1244, 2656, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247268, 2980, 1293, 2622, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247303, 2946, 1230, 2657, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247337, 2982, 1235, 2648, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247372, 2944, 1277, 2614, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247406, 2973, 1274, 2632, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247441, 2985, 1239, 2625, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247475, 2973, 1235, 2654, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247510, 2964, 1310, 2626, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247544, 2973, 1301, 2604, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247579, 2951, 1249, 2607, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247614, 2961, 1271, 2590, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247654, 2957, 1307, 2588, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247695, 2954, 1315, 2599, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247736, 2978, 1328, 2573, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247776, 2987, 1317, 2570, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247817, 3001, 1339, 2556, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247858, 2997, 1349, 2546, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247898, 3003, 1332, 2525, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247939, 3026, 1367, 2502, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
247980, 3026, 1353, 2527, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248021, 3011, 1309, 2525, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248059, 3013, 1335, 2539, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248098, 2995, 1344, 2558, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248137, 2969, 1392, 2549, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248176, 2947, 1420, 2537, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248215, 2954, 1391, 2536, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248254, 2972, 1390, 2523, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248293, 2978, 1426, 2532, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248332, 2993, 1415, 2506, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248371, 2989, 1381, 2530, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248410, 3006, 1410, 2540, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248446, 2992, 1389, 2514, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248483, 2979, 1442, 2512, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248519, 2979, 1423, 2520, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248556, 2988, 1402, 2518, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248593, 2982, 1426, 2508, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248629, 3013, 1445, 2516, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248666, 2997, 1432, 2507, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248703, 2995, 1448, 2495, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248739, 2976, 1485, 2467, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248776, 2986, 1473, 2488, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248813, 2983, 1482, 2499, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248852, 2974, 1472, 2480, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248892, 2988, 1464, 2506, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248931, 2977, 1477, 2483, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
248971, 2974, 1492, 2488, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249010, 2959, 1478, 2483, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249050, 2997, 1499, 2488, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249089, 2960, 1484, 2498, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249129, 2994, 1484, 2513, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249168, 2973, 1494, 2492, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249208, 2967, 1506, 2495, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249242, 2965, 1489, 2486, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249277, 2962, 1495, 2498, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249312, 2963, 1480, 2498, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249347, 2988, 1496, 2485, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249382, 2971, 1493, 2511, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249417, 2965, 1510, 2489, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249452, 2938, 1484, 2499, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249487, 2969, 1492, 2500, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249522, 2967, 1501, 2501, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249557, 2979, 1518, 2481, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249592, 2963, 1515, 2495, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249632, 2965, 1519, 2478, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249672, 2955, 1511, 2491, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249712, 2962, 1527, 2477, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249753, 2973, 1532, 2474, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249793, 2952, 1512, 2476, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249833, 2975, 1556, 2470, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249874, 2960, 1535, 2471, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249914, 2958, 1527, 2487, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249954, 2977, 1537, 2478, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
249995, 2969, 1536, 2492, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250035, 2943, 1562, 2479, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
250075, 2948, 1501, 2481, 104, 63271c34-7561-4b02-8119-9a84116e93a2, , sujud, sujud, , 
