179833, 3156, 1135, 2565, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
179868, 3020, 1151, 2612, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
179904, 2970, 1148, 2618, 100, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
179944, 3009, 1174, 2636, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
179985, 2998, 1150, 2613, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180025, 2998, 1145, 2616, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180066, 3050, 1119, 2608, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180107, 3029, 1159, 2589, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180147, 3041, 1180, 2618, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180188, 3022, 1139, 2596, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180228, 2964, 1181, 2631, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180269, 2992, 1201, 2621, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180310, 2942, 1206, 2643, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180352, 2965, 1215, 2620, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180394, 3010, 1205, 2622, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180436, 3033, 1179, 2612, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180479, 3001, 1195, 2625, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180521, 2993, 1186, 2646, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180563, 2986, 1184, 2626, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180606, 2968, 1178, 2625, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180648, 2949, 1169, 2641, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180690, 2955, 1205, 2643, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
180733, 2971, 1182, 2644, 99, 63edf040-ae5a-42cd-8f86-d0d2ba5e2913, , sujud, sujud, , 
