291736, 2641, 1122, 2995, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
291775, 2631, 1182, 2990, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
291814, 2636, 1158, 2971, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
291852, 2673, 1188, 2957, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
291891, 2667, 1186, 2929, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
291930, 2695, 1197, 2915, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
291969, 2743, 1162, 2897, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292008, 2745, 1183, 2898, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292046, 2779, 1112, 2901, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292085, 2768, 1118, 2895, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292124, 2778, 1104, 2882, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292162, 2794, 1097, 2903, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292201, 2772, 1099, 2856, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292240, 2801, 1108, 2883, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292279, 2797, 1091, 2898, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292317, 2800, 1069, 2869, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292356, 2804, 1115, 2871, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292395, 2807, 1121, 2860, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292434, 2802, 1094, 2850, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292472, 2818, 1067, 2858, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292511, 2787, 1114, 2867, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292550, 2814, 1092, 2850, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292588, 2830, 1092, 2857, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292627, 2808, 1053, 2844, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292666, 2820, 1101, 2834, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292704, 2820, 1105, 2831, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292743, 2835, 1107, 2840, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292782, 2825, 1078, 2852, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292821, 2834, 1116, 2858, 88, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292856, 2805, 1102, 2837, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292891, 2836, 1095, 2836, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292926, 2835, 1115, 2848, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292962, 2848, 1094, 2815, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
292997, 2826, 1095, 2837, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293032, 2823, 1122, 2810, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293067, 2847, 1093, 2813, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293103, 2847, 1122, 2800, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293138, 2860, 1149, 2795, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293173, 2861, 1114, 2796, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293209, 2869, 1115, 2803, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293250, 2841, 1115, 2790, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293291, 2851, 1128, 2798, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293332, 2858, 1147, 2801, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293373, 2859, 1150, 2782, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293414, 2857, 1106, 2791, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293455, 2896, 1119, 2784, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293496, 2870, 1196, 2758, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293537, 2888, 1221, 2752, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293578, 2885, 1238, 2717, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293620, 2883, 1259, 2727, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293660, 2858, 1245, 2727, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293700, 2892, 1231, 2725, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293740, 2881, 1238, 2744, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293780, 2884, 1207, 2725, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293820, 2859, 1227, 2748, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293860, 2890, 1196, 2737, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293900, 2867, 1192, 2739, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293940, 2880, 1224, 2733, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
