185976, 2398, 2220, 2537, 85, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186015, 2412, 2209, 2561, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186055, 2443, 2218, 2531, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186095, 2398, 2245, 2568, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186134, 2387, 2233, 2573, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186174, 2378, 2263, 2560, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186214, 2383, 2248, 2536, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186253, 2359, 2348, 2503, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186293, 2336, 2310, 2529, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186333, 2323, 2314, 2534, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186373, 2354, 2274, 2511, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186411, 2346, 2300, 2522, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186449, 2333, 2316, 2514, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186487, 2322, 2335, 2521, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186525, 2324, 2345, 2510, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186563, 2312, 2322, 2538, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186601, 2309, 2318, 2528, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186639, 2335, 2349, 2492, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186677, 2346, 2316, 2513, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186715, 2326, 2338, 2519, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186753, 2349, 2322, 2525, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186792, 2347, 2320, 2521, 82, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186830, 2319, 2321, 2544, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186868, 2332, 2348, 2542, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186906, 2325, 2302, 2554, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186944, 2336, 2337, 2539, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
186982, 2326, 2320, 2540, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187020, 2298, 2294, 2535, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187058, 2313, 2275, 2551, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187096, 2317, 2295, 2549, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187134, 2258, 2316, 2544, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187173, 2280, 2294, 2521, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187216, 2306, 2318, 2536, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187259, 2333, 2282, 2545, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187302, 2328, 2277, 2560, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187345, 2312, 2298, 2548, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187389, 2290, 2309, 2545, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187432, 2309, 2277, 2543, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187475, 2302, 2303, 2587, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187518, 2308, 2298, 2559, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
187561, 2314, 2304, 2558, 81, 695fad97-f1b4-4bd9-bdd8-47f35489b564, , sujud, sujud, , 
