283119, 2873, 2709, 1299, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283158, 2852, 2714, 1269, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283197, 2895, 2668, 1281, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283236, 2901, 2651, 1261, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283275, 2920, 2679, 1231, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283314, 2907, 2643, 1243, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283353, 2922, 2653, 1233, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283392, 2904, 2661, 1216, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283431, 2910, 2659, 1233, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283470, 2926, 2652, 1250, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283509, 2939, 2659, 1249, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283548, 2892, 2663, 1245, 80, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283584, 2927, 2653, 1264, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283621, 2897, 2651, 1235, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283658, 2903, 2672, 1246, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283695, 2923, 2657, 1239, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283732, 2922, 2654, 1251, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283768, 2892, 2660, 1243, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283805, 2916, 2674, 1262, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283842, 2903, 2655, 1298, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283879, 2898, 2650, 1265, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283916, 2913, 2637, 1260, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283953, 2895, 2652, 1262, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
283993, 2906, 2642, 1260, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284034, 2920, 2662, 1238, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284074, 2926, 2659, 1245, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284115, 2908, 2658, 1246, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284155, 2918, 2649, 1246, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284196, 2911, 2662, 1258, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284236, 2888, 2655, 1259, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284277, 2915, 2657, 1269, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284317, 2909, 2649, 1251, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284358, 2912, 2660, 1265, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284393, 2913, 2668, 1247, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284429, 2898, 2690, 1256, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284464, 2894, 2672, 1256, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284500, 2913, 2660, 1253, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284536, 2901, 2653, 1244, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284571, 2914, 2673, 1266, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284607, 2908, 2647, 1261, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284643, 2917, 2663, 1264, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284678, 2908, 2668, 1254, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
284714, 2910, 2669, 1267, 78, 70157734-5577-4c2c-921b-8da1143a9cee, , sujud, sujud, , 
