193665, 2830, 1312, 2691, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193701, 2929, 1302, 2762, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193736, 2895, 1218, 2777, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193772, 2851, 1270, 2705, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193807, 2882, 1289, 2780, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193843, 2889, 1250, 2667, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193878, 2895, 1253, 2725, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193914, 2932, 1255, 2695, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193949, 2933, 1250, 2738, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
193985, 2905, 1268, 2703, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194027, 2869, 1277, 2701, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194070, 2889, 1314, 2693, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194112, 2892, 1309, 2686, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194155, 2887, 1271, 2707, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194198, 2909, 1337, 2665, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194240, 2905, 1284, 2639, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194283, 2898, 1305, 2687, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194325, 2903, 1338, 2693, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194368, 2900, 1285, 2659, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194411, 2898, 1268, 2678, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194444, 2920, 1342, 2647, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194477, 2925, 1334, 2653, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194511, 2914, 1309, 2670, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194544, 2912, 1338, 2653, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194577, 2892, 1366, 2635, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194611, 2895, 1384, 2622, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194644, 2918, 1351, 2623, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194677, 2930, 1382, 2626, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194711, 2912, 1364, 2614, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194744, 2919, 1346, 2618, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194778, 2898, 1426, 2614, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194818, 2894, 1430, 2599, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194859, 2922, 1397, 2617, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194900, 2910, 1412, 2622, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194940, 2889, 1421, 2609, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
194981, 2912, 1427, 2628, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195022, 2912, 1455, 2605, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195062, 2908, 1437, 2599, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195103, 2907, 1461, 2595, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195144, 2879, 1452, 2586, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195185, 2924, 1463, 2598, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
195226, 2906, 1469, 2600, 101, 74b30d14-8ebf-478e-afe6-6cc6d84709bc, , sujud, sujud, , 
