262224, 2804, 1388, 2812, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262269, 2779, 1422, 2796, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262314, 2794, 1343, 2802, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262359, 2790, 1331, 2800, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262404, 2754, 1348, 2779, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262449, 2779, 1352, 2775, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262485, 2773, 1329, 2773, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262521, 2784, 1346, 2752, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262557, 2824, 1342, 2749, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262593, 2776, 1396, 2763, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262630, 2810, 1350, 2779, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262666, 2793, 1388, 2726, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262702, 2755, 1422, 2718, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262738, 2748, 1391, 2747, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262774, 2778, 1441, 2718, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262811, 2794, 1428, 2739, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
262851, 2762, 1431, 2710, 98, 7eb6ddec-70c2-401f-9b46-0da1f82b6a95, , sujud, sujud, , 
