49463, 2792, 1981, 2450, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49503, 2591, 2050, 2403, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49543, 2608, 2065, 2495, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49583, 2823, 2026, 2339, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49623, 2862, 1983, 2183, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49663, 2771, 1931, 2304, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49703, 2704, 1923, 2444, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49743, 2687, 1931, 2466, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49783, 2926, 1965, 2185, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49823, 3031, 1742, 2172, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49863, 2719, 2104, 2243, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49900, 2860, 1918, 2362, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49938, 2915, 1975, 2258, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
49975, 2843, 2040, 2225, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50013, 2957, 1945, 2178, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50050, 2910, 1937, 2184, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50088, 2918, 1955, 2185, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50125, 2938, 1955, 2131, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50163, 2883, 2181, 2068, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50200, 3014, 2155, 1923, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50238, 2987, 2227, 1806, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50275, 3097, 2130, 1761, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50312, 3035, 2318, 1718, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50349, 3157, 2156, 1635, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50386, 3124, 2176, 1671, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50423, 3147, 2176, 1625, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50461, 3123, 2192, 1628, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50498, 3143, 2151, 1591, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50535, 3108, 2227, 1601, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50572, 3178, 2152, 1635, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50609, 3162, 2121, 1615, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50647, 3172, 2095, 1649, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50687, 3153, 2063, 1694, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50727, 3165, 2088, 1646, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50767, 3139, 2081, 1646, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50807, 3158, 2118, 1658, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50848, 3186, 2071, 1609, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50888, 3167, 2087, 1599, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50928, 3204, 2093, 1592, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
50968, 3220, 2069, 1614, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51008, 3223, 2078, 1543, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51049, 3245, 2107, 1591, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51092, 3235, 2067, 1608, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51136, 3245, 2066, 1599, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51180, 3269, 2075, 1583, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51224, 3175, 2134, 1606, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
51268, 3180, 2158, 1614, 66, 96cfc578-23fe-4528-9499-1ae14012232e, , sujud, sujud, , 
