91734, 2667, 2658, 1707, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91770, 2685, 2630, 1711, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91807, 2708, 2630, 1702, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91844, 2703, 2663, 1698, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91881, 2673, 2675, 1672, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91918, 2681, 2700, 1669, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91955, 2675, 2685, 1676, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
91996, 2676, 2693, 1675, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92038, 2673, 2688, 1649, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92080, 2671, 2698, 1676, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92122, 2663, 2690, 1676, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92164, 2645, 2717, 1696, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92205, 2645, 2695, 1694, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92247, 2668, 2684, 1696, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92289, 2653, 2684, 1686, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92331, 2647, 2690, 1686, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92373, 2667, 2690, 1686, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92407, 2673, 2702, 1674, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92441, 2669, 2687, 1648, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92475, 2648, 2690, 1670, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92509, 2650, 2706, 1657, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92543, 2654, 2697, 1668, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92578, 2659, 2697, 1674, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92612, 2641, 2706, 1666, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92646, 2655, 2715, 1659, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92680, 2652, 2718, 1649, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92714, 2629, 2712, 1670, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92749, 2650, 2715, 1656, 68, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92789, 2654, 2722, 1651, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92829, 2650, 2699, 1654, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92870, 2664, 2704, 1660, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92910, 2678, 2706, 1663, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92951, 2674, 2695, 1638, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
92991, 2668, 2703, 1644, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93031, 2677, 2696, 1637, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93072, 2681, 2708, 1647, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93112, 2655, 2705, 1641, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93153, 2664, 2698, 1645, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93194, 2669, 2691, 1649, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93235, 2676, 2706, 1639, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93277, 2656, 2722, 1643, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93318, 2659, 2710, 1642, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93360, 2673, 2726, 1649, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93401, 2674, 2718, 1652, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93442, 2672, 2707, 1654, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93484, 2655, 2716, 1644, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93525, 2654, 2710, 1630, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93567, 2660, 2707, 1635, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93603, 2666, 2725, 1624, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93639, 2663, 2699, 1641, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93675, 2661, 2713, 1637, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93712, 2665, 2700, 1646, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93748, 2657, 2730, 1654, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93784, 2650, 2692, 1667, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93820, 2675, 2715, 1663, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93857, 2655, 2724, 1638, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93893, 2648, 2719, 1647, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93929, 2650, 2724, 1636, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
93966, 2671, 2722, 1628, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94006, 2673, 2712, 1624, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94047, 2663, 2713, 1638, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94087, 2688, 2712, 1637, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94128, 2680, 2700, 1647, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94168, 2681, 2717, 1648, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94209, 2677, 2696, 1647, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94249, 2674, 2680, 1639, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94290, 2667, 2674, 1633, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94330, 2530, 2835, 1659, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94371, 2696, 2623, 1700, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94409, 2746, 2648, 1688, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94448, 2653, 2702, 1631, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94487, 2681, 2695, 1629, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
94525, 2655, 2705, 1677, 67, a9884505-bfc9-46f5-ac41-031bfd8abc51, , sujud, sujud, , 
