77426, 3019, 2659, 1078, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77466, 3109, 2663, 1021, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77506, 3072, 2574, 972, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77546, 3137, 2548, 1004, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77586, 3228, 2528, 985, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77627, 3154, 2507, 972, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77663, 3264, 2335, 1072, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77700, 3268, 2346, 1081, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77737, 3200, 2508, 1128, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77773, 3261, 2320, 1161, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77810, 3153, 2412, 1152, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77847, 3146, 2293, 1192, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77884, 3101, 2496, 1172, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77920, 3114, 2445, 1235, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77957, 3075, 2516, 1210, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
77994, 3024, 2549, 1266, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78031, 3045, 2525, 1276, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78070, 2952, 2625, 1329, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78110, 2983, 2517, 1285, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78150, 3002, 2544, 1281, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78189, 3008, 2573, 1249, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78229, 3003, 2572, 1224, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78269, 2979, 2587, 1232, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78308, 3012, 2527, 1240, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78348, 2997, 2562, 1226, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78388, 3037, 2519, 1247, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78428, 3020, 2525, 1233, 51, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78472, 3052, 2533, 1185, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78517, 3027, 2526, 1222, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78561, 3070, 2526, 1181, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78606, 3062, 2551, 1165, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78651, 3120, 2420, 1117, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78695, 3074, 2540, 1101, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78740, 3131, 2541, 1103, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78784, 3117, 2518, 1059, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78829, 3127, 2460, 1057, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78874, 3113, 2524, 1045, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78905, 3127, 2476, 1058, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78936, 3106, 2515, 1066, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78967, 3105, 2530, 1064, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
78998, 3127, 2502, 1084, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79029, 3094, 2535, 1066, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79061, 3107, 2506, 1068, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79092, 3090, 2524, 1065, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79123, 3112, 2494, 1079, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79154, 3100, 2541, 1054, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79185, 3126, 2513, 1045, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79217, 3094, 2513, 1067, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79261, 3112, 2506, 1059, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79306, 3096, 2531, 1066, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79351, 3098, 2509, 1066, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79396, 3091, 2516, 1083, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79441, 3094, 2515, 1052, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79486, 3094, 2516, 1073, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79531, 3108, 2545, 1071, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79576, 3103, 2522, 1052, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79621, 3102, 2543, 1047, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79666, 3102, 2536, 1069, 52, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79700, 3096, 2529, 1055, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79734, 3113, 2498, 1068, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79768, 3094, 2515, 1055, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79803, 3104, 2517, 1070, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79837, 3106, 2499, 1065, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79871, 3098, 2522, 1065, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79905, 3073, 2531, 1063, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79940, 3092, 2523, 1060, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
79974, 3085, 2550, 1060, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
80008, 3099, 2526, 1053, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
80043, 3084, 2530, 1059, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
80086, 3093, 2525, 1048, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
80129, 3090, 2543, 1067, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
80172, 3075, 2536, 1054, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
80216, 3076, 2501, 1064, 54, ab8f5ef7-6889-4740-a5aa-f6f466eb15ec, , sujud, sujud, , 
