107047, 3164, 2177, 1540, 117, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107085, 3185, 2171, 1532, 117, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107123, 3174, 2160, 1556, 117, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107161, 3220, 2116, 1523, 117, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107199, 3200, 2164, 1513, 117, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107236, 3229, 2127, 1465, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107274, 3191, 2168, 1451, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107312, 3199, 2192, 1465, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107350, 3199, 2186, 1398, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107388, 3232, 2205, 1403, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107425, 3213, 2198, 1376, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107463, 3251, 2182, 1362, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107501, 3259, 2158, 1348, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107539, 3261, 2180, 1323, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107577, 3282, 2141, 1331, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107617, 3283, 2151, 1300, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107657, 3308, 2145, 1306, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107697, 3320, 2111, 1264, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
107737, 3308, 2115, 1244, 115, acfe9c2d-d991-46bd-9d80-c18ba929e65c, , sujud, sujud, , 
