58534, 1420, 1631, 3616, 47, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58569, 1398, 1703, 3575, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58604, 1430, 1675, 3584, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58639, 1562, 1601, 3538, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58674, 1509, 1635, 3551, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58710, 1562, 1551, 3531, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58745, 1644, 1468, 3500, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58780, 1716, 1533, 3488, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58815, 1658, 1521, 3470, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58850, 1774, 1492, 3474, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58886, 1656, 1606, 3460, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58922, 1662, 1563, 3502, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58959, 1715, 1491, 3484, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
58995, 1715, 1539, 3482, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59032, 1758, 1526, 3464, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59068, 1651, 1505, 3482, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59105, 1709, 1446, 3507, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
59141, 1721, 1444, 3506, 48, b148447a-a94e-4cb8-82ee-50091ddf553c, , sujud, sujud, , 
