192823, 3230, 2356, 1109, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
192861, 3173, 2398, 1085, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
192899, 3236, 2315, 1103, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
192937, 3252, 2304, 1062, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
192975, 3267, 2324, 1114, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193012, 3238, 2303, 1122, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193050, 3221, 2303, 1165, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193088, 3245, 2293, 1157, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193126, 3231, 2294, 1163, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193164, 3221, 2317, 1178, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193202, 3249, 2328, 1168, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193238, 3211, 2296, 1130, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193275, 3194, 2374, 1199, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193312, 3248, 2400, 1147, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193348, 3177, 2364, 1223, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193385, 3200, 2339, 1124, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193422, 3179, 2370, 1174, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193458, 3205, 2323, 1112, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193495, 3204, 2345, 1167, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193532, 3187, 2340, 1141, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193569, 3247, 2347, 1152, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193607, 3233, 2316, 1120, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193646, 3196, 2352, 1155, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193685, 3237, 2336, 1171, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193724, 3203, 2305, 1121, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193763, 3215, 2309, 1146, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193801, 3226, 2326, 1140, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193840, 3224, 2322, 1143, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193879, 3206, 2341, 1153, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193918, 3234, 2349, 1134, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193957, 3231, 2342, 1130, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
193996, 3215, 2343, 1133, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194034, 3201, 2339, 1128, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194072, 3198, 2335, 1148, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194110, 3222, 2318, 1134, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194149, 3234, 2302, 1131, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194187, 3219, 2334, 1126, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194225, 3210, 2359, 1133, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194264, 3216, 2326, 1119, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194302, 3236, 2353, 1127, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194340, 3231, 2329, 1135, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194379, 3246, 2337, 1150, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194418, 3235, 2304, 1144, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194457, 3215, 2322, 1168, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194496, 3237, 2281, 1169, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194535, 3211, 2306, 1197, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194574, 3256, 2272, 1180, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194613, 3242, 2299, 1200, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194652, 3214, 2309, 1208, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194691, 3223, 2296, 1202, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194730, 3217, 2309, 1207, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194769, 3231, 2310, 1206, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194807, 3220, 2310, 1197, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194845, 3249, 2318, 1181, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194884, 3239, 2296, 1187, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194922, 3225, 2310, 1172, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194961, 3229, 2304, 1170, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
194999, 3212, 2300, 1152, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195038, 3233, 2307, 1172, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195076, 3230, 2275, 1157, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195115, 3250, 2291, 1145, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195153, 3233, 2317, 1166, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195192, 3236, 2309, 1159, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195232, 3242, 2304, 1168, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195273, 3250, 2277, 1157, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195313, 3244, 2314, 1147, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195354, 3239, 2298, 1152, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195394, 3221, 2307, 1146, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195435, 3234, 2287, 1155, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195475, 3236, 2307, 1158, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195516, 3242, 2283, 1149, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195556, 3241, 2315, 1147, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195597, 3225, 2305, 1128, 100, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195635, 3227, 2295, 1136, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195674, 3242, 2316, 1153, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195713, 3253, 2302, 1157, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195752, 3227, 2303, 1139, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195791, 3232, 2292, 1151, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195830, 3243, 2316, 1168, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195869, 3219, 2306, 1158, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195908, 3229, 2299, 1172, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195947, 3220, 2317, 1181, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
195986, 3255, 2314, 1177, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196021, 3220, 2306, 1179, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196057, 3220, 2303, 1174, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196092, 3235, 2297, 1187, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196128, 3214, 2280, 1182, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196163, 3218, 2296, 1160, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196199, 3224, 2306, 1187, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
196234, 3220, 2291, 1167, 99, f0b8181b-2b43-49b5-97d8-a5a5e43fa5b8, , sujud, sujud, , 
