64443, 3942, 1323, -178, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64486, 3913, 1322, -63, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64530, 3911, 1312, -73, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64574, 3910, 1307, -39, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64609, 3914, 1321, 48, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64645, 3993, 1521, 87, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64680, 3972, 1347, 191, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64716, 4007, 1698, 85, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64751, 4021, 1999, 159, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64787, 4286, 2144, 263, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64822, 4250, 2457, 457, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64858, 4258, 2195, 585, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64893, 4090, 2702, 728, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64929, 3717, 2823, 959, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
64968, 3479, 3216, 1348, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65008, 3217, 3260, 1656, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65047, 2871, 3872, 1807, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65087, 2502, 3410, 2175, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65127, 2172, 3786, 2443, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65166, 1519, 2880, 2652, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65206, 921, 3140, 3223, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65246, 348, 2051, 3006, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65285, -16, 1702, 3060, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65325, -459, 1314, 3027, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65365, -860, 1744, 3019, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65402, -1559, 1410, 2775, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65440, -1812, 1206, 2752, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65478, -1843, 1011, 2443, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65516, -2154, 437, 2332, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65554, -2381, 371, 2266, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65591, -2638, 864, 2540, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65629, -2792, -477, 1768, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65667, -2945, 5, 1808, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65705, -3147, -434, 1648, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65743, -3418, -415, 1775, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65779, -3447, -130, 1998, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65815, -3502, -25, 1921, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65852, -3539, 72, 2150, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65888, -3561, 313, 2309, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65924, -3595, 330, 2329, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65961, -3433, 119, 2279, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
65997, -3428, 163, 2218, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66033, -3426, 223, 2341, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66070, -3324, 117, 2195, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66106, -3341, 278, 2417, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66143, -3381, 164, 2259, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66186, -3452, 197, 2308, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66229, -3401, 168, 2235, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66272, -3486, 148, 2173, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66315, -3439, 115, 2191, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66359, -3385, 84, 2039, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66402, -3417, 230, 2123, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66445, -3415, 303, 2227, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66488, -3449, 274, 2154, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66531, -3425, 135, 2062, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66575, -3360, 51, 1965, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66613, -3236, -23, 1711, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66652, -3134, 151, 1969, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66691, -3140, 461, 2148, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66730, -2965, 748, 2311, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
66769, -2701, 757, 1749, 96, 117724ac-5b85-40c9-86f7-df785b09ec65, , takbir, takbiratulihram, , 
