134718, 4111, 253, -452, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
134759, 4100, 240, -380, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
134799, 4081, 259, -429, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
134839, 4097, 226, -392, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
134880, 4071, 340, -499, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
134920, 4031, 752, -669, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
134960, 3943, 1322, -606, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135001, 4296, 1304, -32, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135043, 3880, 2648, -588, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135086, 4146, 3115, -176, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135128, 4831, 3503, 177, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135171, 5375, 3604, 708, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135214, 6260, 4641, 1006, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135256, 7062, 4409, 1155, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135299, 7064, 5409, 393, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135341, 7719, 5552, 1600, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135384, 6574, 5199, 1682, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135427, 5533, 4341, 2400, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135460, 3900, 3160, 1570, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135494, 2619, 2745, 1526, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135528, 1805, 740, 469, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135561, 1508, 571, 113, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135595, 1335, -1557, -1067, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135629, 1034, -2454, -2697, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135663, -223, -7758, -5166, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135696, -220, -3742, -3689, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135730, -508, -3327, -2946, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135764, -633, -863, -1684, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135798, -1640, -200, -458, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135844, -1697, 673, 712, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135891, -2765, 2289, 3845, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135938, -1988, 558, 2393, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
135984, -352, 7701, 6390, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136031, -1606, 2637, 6040, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136078, -758, 4809, 2958, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136124, -1619, 3683, 3671, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136171, -190, 3163, 3263, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136218, -1291, 5593, 2463, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136265, -879, 3912, 1770, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136299, -1028, 4702, 1162, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136333, -970, 4066, 667, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136367, -1084, 4065, 401, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136401, -1168, 3714, -28, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136435, -1494, 4045, -664, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136469, -1365, 2863, -623, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136503, -756, 2608, -734, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136537, -848, 3824, -1241, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136571, -654, 3848, -1578, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136606, -1314, 2681, -1513, 95, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136641, -736, 4361, -2250, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136677, -1516, 3255, -2020, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136712, -1017, 3259, -2403, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136748, -1267, 3196, -2589, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136784, -1351, 3007, -2528, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136819, -1370, 3160, -2717, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136855, -1068, 2805, -2606, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136891, -1271, 2744, -2635, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136926, -1212, 2672, -2946, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136962, -1307, 2740, -2754, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
136998, -1227, 2837, -3220, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
137038, -1248, 2539, -2968, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
137078, -1270, 2856, -2974, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
137118, -1243, 2773, -3082, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
137159, -1216, 2832, -2892, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
137199, -1145, 2572, -2817, 94, 1a03db34-1211-4168-a9ca-3b0f2711d0ec, , takbir, takbiratulihram, , 
