121019, 4112, 278, -365, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121066, 4101, 348, -367, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121100, 4090, 360, -337, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121135, 4115, 536, -420, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121170, 4028, 1063, -750, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121205, 3981, 1252, -289, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121240, 4003, 2394, -89, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121275, 4342, 2567, -406, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121310, 4957, 2280, 119, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121345, 5529, 1657, 969, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121380, 6115, 1449, 1665, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121415, 5449, 2997, 933, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121450, 5500, 2636, 1269, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121485, 4694, 3065, 1640, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121520, 4173, 3228, 2418, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121555, 3432, 3451, 2546, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121590, 2890, 3174, 2925, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121625, 1800, 2505, 2906, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121660, 1253, 1931, 2981, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121695, 295, 1352, 2800, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121730, -254, 665, 2677, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121765, -864, -83, 2286, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121801, -1175, -291, 2313, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121841, -1269, -1311, 1399, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121882, -1671, -1571, 1483, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121922, -1663, -2284, 780, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
121963, -1764, -1904, 659, 89, 251a9f76-1b21-4752-a51e-7b3352339f23, , takbir, takbiratulihram, , 
