140679, 4068, 611, -469, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140720, 3994, 670, -479, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140761, 4019, 696, -545, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140802, 4027, 763, -567, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140843, 3972, 945, -545, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140884, 3934, 1228, -623, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140925, 4043, 1227, -433, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
140966, 3832, 1579, -715, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141007, 3922, 1634, -843, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141048, 4027, 1733, -830, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141082, 4423, 2387, -606, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141116, 4922, 2227, -97, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141151, 4617, 2936, -206, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141185, 5195, 2447, 116, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141220, 5096, 2874, 318, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141254, 4475, 3039, 822, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141288, 4063, 2913, 1558, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141323, 3403, 3077, 1866, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141357, 2584, 3004, 2211, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141392, 1837, 2381, 2245, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141432, 1034, 2148, 2484, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141473, 389, 1722, 2272, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141513, -90, 1755, 2624, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141554, -598, 1454, 2565, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141595, -1051, 1284, 2827, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141635, -1320, 595, 2453, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141676, -1689, 922, 2971, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141716, -1886, 903, 3220, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141757, -2096, 1448, 3413, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141798, -2314, 878, 2855, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141834, -2787, 1007, 2450, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141871, -2857, 302, 2080, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141907, -2990, 133, 2068, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141944, -2941, 788, 2433, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
141981, -2785, 1143, 2804, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142017, -2463, 1343, 3356, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142054, -2305, 1303, 3269, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142091, -2093, 1052, 3403, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142127, -2014, 1114, 3230, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142164, -2138, 995, 3104, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142201, -2254, 1185, 3231, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142241, -2321, 1178, 3101, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142282, -2324, 1121, 3230, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142322, -2316, 1080, 3261, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142363, -2335, 1075, 3353, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142403, -2295, 1079, 3316, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142444, -2302, 1085, 3226, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142484, -2325, 1027, 3141, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142525, -2329, 949, 3195, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142565, -2344, 1032, 3101, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142606, -2378, 1132, 3290, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142643, -2296, 949, 3210, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142680, -2321, 915, 3218, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142717, -2403, 1022, 3188, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142754, -2411, 964, 3147, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142791, -2357, 959, 3116, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142829, -2384, 1012, 3098, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142866, -2375, 935, 2936, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142903, -2319, 963, 3013, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142940, -2370, 1221, 3330, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
142977, -2371, 1177, 3388, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143015, -2351, 1048, 3239, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143053, -2323, 1102, 3301, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143092, -2371, 1063, 3286, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143130, -2341, 1044, 3220, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143169, -2250, 1077, 3201, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143208, -2306, 1136, 3118, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143246, -2235, 1114, 3104, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143285, -2274, 1154, 3194, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143323, -2305, 1104, 3204, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143362, -2300, 1086, 3188, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143401, -2332, 1069, 2944, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143441, -2387, 1080, 2651, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143482, -2378, 956, 2448, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143523, -2254, 1163, 2551, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143563, -2100, 1403, 2855, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143604, -1954, 1648, 3087, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143645, -1434, 2142, 3409, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143685, -1327, 1996, 3797, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143726, -897, 1740, 2872, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143767, -1408, 3417, 3158, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143808, -1330, 1780, 1638, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143845, -594, 4925, 1322, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143882, -821, 3626, 1272, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143919, -220, 5739, 344, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143956, -633, 4158, 1281, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
143993, -400, 4035, -359, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144030, -388, 4821, -186, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144067, -211, 4052, 206, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144104, -189, 4836, -190, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144141, -207, 3997, -163, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144178, -291, 4011, -538, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144216, -308, 4697, -1471, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144256, -494, 2996, -1235, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144296, -684, 4713, -749, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144336, -476, 3938, -1011, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144376, -412, 3423, -1255, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144416, -455, 3165, -1245, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144456, -357, 3323, -1103, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144496, -547, 3662, -1671, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144536, -826, 3875, -2095, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144576, -940, 3700, -1915, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144617, -980, 3432, -1699, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144656, -1144, 3489, -1426, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144695, -1219, 3647, -1659, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144735, -1126, 3723, -1737, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144774, -995, 3560, -1612, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144813, -1040, 3948, -1947, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
144853, -962, 3785, -1722, 91, 2703d2d8-1c68-49be-85ec-a458500298e6, , takbir, takbiratulihram, , 
