101275, 4109, 186, -453, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101312, 4113, 173, -430, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101349, 4074, 236, -361, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101386, 4069, 372, -438, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101432, 4097, 532, -403, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101479, 4006, 1011, -634, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101525, 3981, 1135, -878, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101572, 3982, 1315, -850, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101618, 4282, 1702, -884, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101665, 4569, 2125, -597, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101711, 5378, 2003, -81, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101758, 4957, 2803, -553, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101804, 5351, 2868, -348, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101851, 4573, 3296, -81, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101884, 4155, 3465, 461, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101917, 3532, 3221, 1089, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101950, 2900, 3575, 1293, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
101983, 2099, 3551, 1289, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102016, 1371, 3066, 1705, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102049, 529, 2966, 2155, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102082, -228, 2509, 1837, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102115, -802, 2393, 2225, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102148, -1124, 1842, 2291, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102181, -1670, 1224, 1802, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102214, -2092, 1144, 2330, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102257, -2415, 457, 1997, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102300, -2634, 949, 2267, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102344, -2972, -51, 2009, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102387, -3193, -55, 1277, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102431, -3222, -1110, 1071, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102474, -3420, -1112, 764, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102517, -3398, -525, 1097, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102561, -3473, -247, 1060, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102604, -3369, 285, 1455, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102648, -3261, 514, 1830, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102683, -3088, 756, 2283, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102719, -3019, 1407, 2398, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102755, -2820, 1007, 2239, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102791, -2479, 2194, 2948, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102827, -2415, 1128, 2442, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
102862, -1968, 2742, 3143, 89, 35706087-4da8-45b1-8846-2497ed5d361c, , takbir, takbiratulihram, , 
