9581, 4095, 1288, 364, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9624, 3897, 2049, -165, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9667, 4296, 1894, 605, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9709, 4839, 1527, 1427, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9752, 5182, 2216, 1436, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9795, 4821, 2794, 1554, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9838, 4551, 3511, 1648, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9881, 4024, 4059, 1732, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9919, 3081, 3698, 1884, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9957, 1975, 3713, 1953, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
9995, 1185, 3715, 1925, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10034, 196, 3386, 1976, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10072, -283, 2623, 1747, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10110, -1284, 2307, 1574, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10149, -1447, 2006, 1668, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10187, -2168, 1478, 1519, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10225, -2642, 1243, 1501, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10264, -2867, 936, 1360, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10299, -3352, 711, 1330, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10334, -3197, -61, 1185, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10370, -3508, -160, 1009, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10405, -3197, -764, 998, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10440, -3526, -1080, 771, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10476, -3313, -1465, 706, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10511, -3325, -1419, 448, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10546, -3174, -1739, 383, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10582, -3157, -2027, 82, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10617, -3032, -2172, 12, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10653, -3173, -2193, 166, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10696, -3005, -2334, 70, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10740, -3007, -2344, -22, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10783, -2943, -2412, 85, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10827, -3114, -2297, 39, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10871, -3219, -2345, 154, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10914, -3438, -2144, 148, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
10958, -3360, -2139, 175, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11001, -3538, -1983, 190, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11045, -3514, -1994, 234, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11089, -3674, -1888, 228, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11126, -3694, -1921, 225, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11163, -3775, -1773, 204, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11200, -3687, -1651, 253, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11237, -3840, -1557, 191, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11274, -3848, -1347, 233, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11311, -3852, -1306, 236, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11348, -3900, -1142, 318, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11385, -3832, -1089, 382, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11422, -3790, -943, 394, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11459, -3693, -808, 389, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11496, -4184, -643, 508, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11533, -4096, -528, 556, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11570, -4095, -411, 802, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11607, -4095, -342, 873, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11644, -4160, -226, 898, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11682, -4202, -116, 964, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11719, -3996, -40, 888, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11756, -3897, 9, 897, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11793, -3685, -21, 935, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11830, -3744, -2, 953, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11868, -3587, 48, 1036, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11907, -3596, 213, 1175, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11947, -3427, 221, 1306, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
11987, -3204, 454, 1322, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12026, -3164, 849, 1355, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12066, -2899, 1157, 1789, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12106, -2972, 1443, 2062, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12145, -2967, 1717, 2153, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12185, -2873, 2066, 2401, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12225, -2883, 2769, 2442, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12265, -2562, 2519, 2226, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12300, -2270, 3473, 2196, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12335, -2144, 3219, 2029, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12370, -1835, 3581, 1847, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12405, -1671, 4632, 1729, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12440, -1584, 3967, 1326, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12476, -982, 3816, 1432, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12511, -1126, 4133, 1341, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12546, -1040, 4113, 1107, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12581, -873, 3783, 970, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12616, -1049, 3893, 1083, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12652, -754, 3908, 1009, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12693, -884, 3889, 965, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12735, -846, 3911, 992, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12776, -816, 3693, 1108, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12818, -766, 4003, 1070, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12860, -794, 3944, 1017, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12901, -666, 4028, 1060, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12943, -648, 3984, 1006, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
12984, -604, 4052, 968, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13026, -640, 3960, 900, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13068, -572, 4027, 831, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13106, -442, 3845, 817, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13145, -743, 3894, 749, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13183, -347, 4069, 575, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13222, -503, 4173, 576, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13261, -485, 4203, 473, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13299, -418, 3920, 538, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13338, -310, 4074, 406, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13376, -471, 4346, 424, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13415, -464, 4281, 117, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13454, -389, 3756, 56, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13497, -516, 4050, 49, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13541, -413, 4382, 63, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13585, -304, 4552, -189, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13629, -155, 3635, -409, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13673, -917, 3771, -515, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13717, -352, 4764, -529, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13761, -13, 4311, -503, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13805, -453, 4097, -436, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13849, -502, 4519, -554, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13893, -590, 3953, -576, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13937, -676, 3488, -688, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
13969, -621, 3684, -920, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14001, -585, 3742, -839, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14033, -598, 3685, -624, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14065, -674, 3839, -744, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14097, -680, 3885, -877, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14129, -659, 3899, -785, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14161, -718, 3917, -907, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14193, -623, 3928, -836, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14225, -584, 3941, -944, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14258, -690, 3931, -969, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14293, -545, 3978, -956, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14328, -717, 3939, -1022, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
14363, -630, 3975, -999, , 3687689f-2569-484b-bc80-bab1c71dd09c, , takbir, takbiratulihram, , 
